cm,ms
9.286180114,10
8.688855349,20
8.672644687,30
7.69266032,40
5.226993425,50
5.223834483,60
4.897006888,70
3.489068333,80
3.030311712,90
1.41912554,100
2.579702376,110
0.337630288,120
1.448376463,130
1.086632773,140
-0.795897674,150
-0.366420257,160
-0.918240131,170
0.762914515,180
1.22968342,190
1.532276042,200
0.115276275,210
1.414357092,220
0.943909446,230
1.614345709,240
4.133038797,250
3.444137945,260
4.658876736,270
4.728142944,280
7.439012247,290
8.285489942,300
8.047280438,310
8.788546104,320
11.03499459,330
10.64528908,340
11.98509195,350
13.33906772,360
13.60781161,370
16.04557176,380
16.35148095,390
17.01937938,400
17.19970775,410
18.35574182,420
18.73235576,430
18.91623952,440
18.72283632,450
20.69008672,460
19.39212095,470
20.11735987,480
19.91038213,490
20.3987042,500
19.91248693,510
19.94149908,520
18.02694734,530
18.60243862,540
18.28996634,550
16.88665627,560
15.39568597,570
15.32243833,580
13.79886196,590
13.45261827,600
12.36027924,610
11.75131989,620
10.74476608,630
10.73369335,640
9.793918399,650
7.824336718,660
7.508681433,670
5.52720677,680
5.740982478,690
