cm,ms
9.738665415,10
8.49333524,20
7.908824907,30
6.326882171,40
6.29032792,50
5.29518082,60
4.704296819,70
2.967510543,80
2.99713833,90
1.325164769,100
2.196857178,110
1.110382854,120
-0.31475293,130
1.220185574,140
-0.035138553,150
-0.592834894,160
-0.880015028,170
-0.693435917,180
-0.032295563,190
0.836321697,200
1.851730537,210
0.821735415,220
2.545685574,230
1.689811157,240
3.002503454,250
4.100290924,260
4.434743631,270
4.975421838,280
6.074364162,290
7.806262689,300
8.163189661,310
10.28590037,320
11.4872481,330
11.16068166,340
13.41087574,350
12.76316391,360
13.76945329,370
14.49265397,380
16.50418045,390
16.61223216,400
17.73888836,410
18.78565381,420
19.11805727,430
18.57239794,440
19.22760566,450
19.56032725,460
19.40224395,470
20.04070248,480
20.63062371,490
19.27838726,500
19.50664272,510
19.39560387,520
19.20568621,530
17.43865834,540
17.55062672,550
16.95201795,560
15.88914464,570
14.94069946,580
14.60140621,590
14.51262455,600
11.92292751,610
11.1843076,620
11.65581541,630
10.3249346,640
9.368217671,650
8.36079791,660
6.73276936,670
6.706986742,680
4.999918725,690
