cm,ms
9.665337046,10
9.523221293,20
7.933138371,30
8.017219454,40
5.882421847,50
5.306180291,60
3.529093606,70
3.213158921,80
2.207161943,90
1.413277921,100
1.34150126,110
1.181687021,120
0.88911351,130
0.824653862,140
-0.264465024,150
0.046753477,160
-0.320884197,170
-0.80824989,180
0.002628511,190
-0.252014564,200
0.294345553,210
0.814851039,220
1.071759448,230
2.435194363,240
2.806151637,250
3.145925782,260
4.567564405,270
5.668881571,280
6.115645396,290
8.432104661,300
8.31027361,310
10.48641135,320
10.18721669,330
10.7216981,340
13.29883492,350
13.44447154,360
14.62217714,370
15.23033257,380
16.44851632,390
17.53000667,400
16.65928761,410
18.28480014,420
17.90529924,430
19.16636402,440
20.01197345,450
19.74080515,460
19.96943396,470
20.84465704,480
19.98081094,490
19.64977862,500
19.51988374,510
18.76989542,520
18.02389449,530
18.14171718,540
18.13312257,550
16.1397685,560
15.3602111,570
14.99097658,580
14.02703579,590
14.09569927,600
12.58091392,610
12.66348959,620
11.41967517,630
10.27819527,640
8.210778062,650
8.30511787,660
7.789770106,670
6.227658789,680
5.145664123,690
