cm,ms
10.83456295,10
8.34202511,20
7.463729737,30
6.123918898,40
6.68215231,50
5.206061386,60
4.678169687,70
3.359182627,80
2.46034169,90
2.500286306,100
1.809716338,110
1.513833572,120
0.343441727,130
-0.372292817,140
-0.246526921,150
-0.55845007,160
0.18820357,170
0.853530596,180
0.357461456,190
0.421610311,200
1.118762836,210
2.024601781,220
2.036625392,230
2.661302492,240
4.185811496,250
4.18896448,260
4.575570883,270
5.37301106,280
7.539569258,290
8.190111921,300
8.201703329,310
8.902322185,320
11.5404086,330
10.60624858,340
12.35761265,350
13.17951045,360
14.87739317,370
14.40073812,380
16.73476022,390
16.95050775,400
17.6263346,410
17.83673116,420
18.95091753,430
18.56397306,440
20.11752004,450
19.93302708,460
19.41892584,470
19.61564145,480
19.74955389,490
20.11290257,500
20.11010902,510
19.81163109,520
18.12825718,530
18.38402447,540
17.02832435,550
17.67431235,560
15.85042614,570
14.51376739,580
14.79263146,590
13.02322563,600
12.48469347,610
11.22499219,620
10.54889234,630
9.825599704,640
9.077788945,650
8.048389258,660
6.767976709,670
5.005614334,680
4.615907007,690
