cm,ms
11.44583341,10
9.654305269,20
8.212534739,30
7.868731837,40
6.84813963,50
6.496530525,60
4.061889291,70
4.242506453,80
2.615686952,90
1.675743633,100
1.452786378,110
0.317893778,120
0.886266738,130
0.988111023,140
-0.527556239,150
-0.746915922,160
0.546747991,170
0.380488768,180
-0.501967034,190
-0.160794459,200
0.25804806,210
1.099342001,220
2.219870274,230
1.667148233,240
3.153975797,250
3.60944071,260
4.893414223,270
6.807216205,280
7.720513793,290
9.143914258,300
9.425042153,310
10.74293179,320
10.63561796,330
11.8731109,340
14.40185725,350
14.87099094,360
15.59443697,370
16.92374699,380
17.41591927,390
17.97597533,400
20.18682673,410
19.81439233,420
20.38740346,430
21.5209182,440
22.53787238,450
23.23214431,460
23.15497389,470
22.32629548,480
23.46690979,490
22.28320681,500
21.53061069,510
20.81099501,520
21.60576193,530
20.54693139,540
20.77605356,550
18.51500804,560
18.75208382,570
16.88496511,580
17.08236921,590
15.53748294,600
13.24777957,610
12.30187094,620
12.28890825,630
9.991002141,640
9.853138607,650
8.692350289,660
8.350631692,670
6.013783534,680
4.785779131,690
