cm,ms
11.25138216,10
11.4354517,20
9.209124094,30
8.843606071,40
6.31232423,50
6.69882575,60
5.011611913,70
4.40631133,80
3.39084987,90
2.448442337,100
2.555948809,110
1.37468159,120
0.127424803,130
0.089372194,140
0.683065892,150
-0.683647221,160
-0.078223086,170
0.075677677,180
-0.251136951,190
0.644996409,200
1.630956941,210
1.52000505,220
1.868654776,230
2.453659623,240
3.754852308,250
5.050783412,260
5.26779365,270
6.865473497,280
7.951360544,290
9.327596771,300
9.097000021,310
10.48839182,320
12.3959829,330
12.98056203,340
15.49490459,350
16.73078441,360
17.45548178,370
18.45028323,380
20.50442817,390
19.73867907,400
22.11819983,410
22.81077347,420
22.19630585,430
24.11992386,440
24.94767247,450
23.76582504,460
25.15699833,470
24.85131669,480
23.96059402,490
24.89828029,500
24.33500839,510
23.90778614,520
23.91742317,530
21.47232324,540
21.01427496,550
19.79821064,560
19.1546516,570
19.27817259,580
18.54019714,590
17.10371803,600
15.72275375,610
14.27218153,620
12.7095462,630
10.93708821,640
10.0408903,650
8.365494148,660
7.258093371,670
6.601668547,680
4.892521198,690
