ms,pos,steps,strain,g
0,0.000,200,-24371.00,-109.135
2,0.000,200,-24443.00,-109.467
79,0.000,200,-27966.00,-125.733
171,0.000,200,-42400.00,-192.374
263,0.000,200,-61796.00,-281.925
354,0.000,200,-81318.00,-372.057
446,0.000,200,-102219.00,-468.556
537,0.000,200,-124073.00,-569.455
629,0.000,200,-145915.00,-670.299
720,0.000,200,-167648.00,-770.640
813,0.000,200,-188996.00,-869.203
904,0.000,200,-206518.00,-950.101
996,0.000,200,-209961.00,-965.997
1087,0.000,200,-194136.00,-892.934
1179,0.000,200,-167116.00,-768.183
1270,0.000,200,-140854.00,-646.933
1362,0.000,200,-116197.00,-533.092
1455,0.000,200,-92574.00,-424.026
1546,0.000,200,-69707.00,-318.449
1638,0.000,200,-47726.00,-216.964
1729,0.000,200,-27173.00,-122.071
1821,0.000,200,-10716.00,-46.090
1912,0.000,200,-3528.00,-12.903
2004,0.000,200,-3661.00,-13.517
2096,0.000,200,-4608.00,-17.890
2188,0.000,200,-5573.00,-22.345
2279,0.000,200,-6233.00,-25.392
2371,0.000,200,-6625.00,-27.202
2462,0.000,200,-6885.00,-28.402
2554,0.000,200,-7058.00,-29.201
2646,0.000,200,-7250.00,-30.088
2738,0.000,200,-7370.00,-30.642
2829,0.000,200,-7487.00,-31.182
2921,0.000,200,-7638.00,-31.879
3012,0.000,200,-7755.00,-32.419
3104,0.000,200,-7775.00,-32.512
3195,0.000,200,-7857.00,-32.890
3288,0.000,200,-7876.00,-32.978
3379,0.000,200,-7958.00,-33.356
3471,0.000,200,-8022.00,-33.652
3562,0.000,200,-8011.00,-33.601
3654,0.000,200,-8057.00,-33.813
3745,0.000,200,-8073.00,-33.887
3838,0.000,200,-8077.00,-33.906
3929,0.000,200,-8118.00,-34.095
4021,0.000,200,-8146.00,-34.224
4112,0.000,200,-8219.00,-34.561
4204,0.000,200,-8231.00,-34.617
4295,0.000,200,-8232.00,-34.621
4387,0.000,200,-8264.00,-34.769