ms,pos,steps,strain,g
4727,0.000,200,-4715.00,-18.384
4818,0.000,200,-4811.00,-18.827
4910,0.000,200,-4856.00,-19.035
5001,0.000,200,-4920.00,-19.330
5093,0.000,200,-4974.00,-19.579
5184,0.000,200,-5069.00,-20.018
5277,0.000,200,-5194.00,-20.595
5368,0.000,200,-5318.00,-21.168
5460,0.000,200,-5368.00,-21.398
5551,0.000,200,-5505.00,-22.031
5642,0.000,200,-5620.00,-22.562
5734,0.000,200,-5606.00,-22.497
5825,0.000,200,-5716.00,-23.005
5918,0.000,200,-5932.00,-24.002
6009,0.000,200,-6067.00,-24.626
6101,0.000,200,-6123.00,-24.884
6192,0.000,200,-6201.00,-25.244
6284,0.000,200,-6269.00,-25.558
6375,0.000,200,-6390.00,-26.117
6468,0.000,200,-6527.00,-26.750
6559,0.000,200,-6598.00,-27.077
6651,0.000,200,-6578.00,-26.985
6742,0.000,200,-6777.00,-27.904
6834,0.000,200,-6825.00,-28.125
6925,0.000,200,-6837.00,-28.181
7016,0.000,200,-7011.00,-28.984
7109,0.000,200,-7205.00,-29.880
7200,0.000,200,-7286.00,-30.254
7292,0.000,200,-7319.00,-30.406
7383,0.000,200,-7398.00,-30.771
7475,0.000,200,-7492.00,-31.205
7566,0.000,200,-7663.00,-31.994
7658,0.000,200,-7747.00,-32.382
7750,0.000,200,-7789.00,-32.576
7842,0.000,200,-7801.00,-32.632
7933,0.000,200,-7839.00,-32.807
8025,0.000,200,-7976.00,-33.440
8116,0.000,200,-8152.00,-34.252
8208,0.000,200,-8326.00,-35.055
8299,0.000,200,-8377.00,-35.291
8392,0.000,200,-8404.00,-35.416
8483,0.000,200,-8335.00,-35.097
8574,0.000,200,-8242.00,-34.668
8666,0.000,200,-8062.00,-33.837
8757,0.000,200,-7950.00,-33.319
8849,0.000,200,-7915.00,-33.158
8940,0.000,200,-7779.00,-32.530
9033,0.000,200,-7614.00,-31.768
9124,0.000,200,-7429.00,-30.914
9216,0.000,200,-7330.00,-30.457
9307,0.000,200,-7247.00,-30.074
9399,0.000,200,-7110.00,-29.441
9490,0.000,200,-6883.00,-28.393
9583,0.000,200,-6725.00,-27.664
9674,0.000,200,-6542.00,-26.819
9766,0.000,200,-6412.00,-26.219
9857,0.000,200,-6296.00,-25.683
9948,0.000,200,-6180.00,-25.147
10040,0.000,200,-6050.00,-24.547
10131,0.000,200,-5905.00,-23.878
10224,0.000,200,-5811.00,-23.444
10315,0.000,200,-5775.00,-23.278
10407,0.000,200,-5650.00,-22.700
10498,0.000,200,-5489.00,-21.957
10590,0.000,200,-5283.00,-21.006
10681,0.000,200,-5237.00,-20.794
10773,0.000,200,-5187.00,-20.563
10865,0.000,200,-5083.00,-20.083
10957,0.000,200,-4930.00,-19.376
11048,0.000,200,-4764.00,-18.610
11140,0.000,200,-4671.00,-18.180
11231,0.000,200,-4626.00,-17.973
11322,0.000,200,-4499.00,-17.386
11414,0.000,200,-4399.00,-16.925
11506,0.000,200,-4360.00,-16.745
11598,0.000,200,-4253.00,-16.251
11689,0.000,200,-4203.00,-16.020
11781,0.000,200,-4076.00,-15.433
11872,0.000,200,-3798.00,-14.150
11964,0.000,200,-3739.00,-13.877
12055,0.000,200,-3673.00,-13.573
12148,0.000,200,-3565.00,-13.074
12239,0.000,200,-3493.00,-12.742
12331,0.000,200,-3380.00,-12.220
12422,0.000,200,-3283.00,-11.772
12514,0.000,200,-3263.00,-11.680
12605,0.000,200,-3105.00,-10.950
12698,0.000,200,-3041.00,-10.655
12789,0.000,200,-2939.00,-10.184
12880,0.000,200,-2784.00,-9.468
12972,0.000,200,-2781.00,-9.454
13063,0.000,200,-2661.00,-8.900
13155,0.000,200,-2473.00,-8.032
13246,0.000,200,-2276.00,-7.123
13339,0.000,200,-2213.00,-6.832
13430,0.000,200,-2163.00,-6.601
13522,0.000,200,-2067.00,-6.158
13613,0.000,200,-1955.00,-5.641
13705,0.000,200,-1969.00,-5.705
13796,0.000,200,-1923.00,-5.493
13888,0.000,200,-1878.00,-5.285
13980,0.000,200,-1821.00,-5.022
14072,0.000,200,-1625.00,-4.117
14163,0.000,200,-1420.00,-3.171
14254,0.000,200,-1417.00,-3.157
14346,0.000,200,-1386.00,-3.014
14437,0.000,200,-1388.00,-3.023
14529,0.000,200,-1400.00,-3.078
14621,0.000,200,-1381.00,-2.991
14713,0.000,200,-1271.00,-2.483
14804,0.000,200,-1126.00,-1.813
14896,0.000,200,-1020.00,-1.324
14987,0.000,200,-965.00,-1.070
15079,0.000,200,-809.00,-0.350
15170,0.000,200,-834.00,-0.465
15263,0.000,200,-734.00,-0.003
15354,0.000,200,-584.00,0.689
15446,0.000,200,-546.00,0.865
15537,0.000,200,-477.00,1.183
15629,0.000,200,-423.00,1.432
15720,0.000,200,-390.00,1.585
15812,0.000,200,-313.00,1.940
15904,0.000,200,-187.00,2.522
15995,0.000,200,-43.00,3.187
16087,0.000,200,124.00,3.958
16178,0.000,200,189.00,4.258
16270,0.000,200,220.00,4.401
16361,0.000,200,310.00,4.817
16454,0.000,200,404.00,5.251
16545,0.000,200,383.00,5.154
16637,0.000,200,420.00,5.325
16728,0.000,200,444.00,5.435
16820,0.000,200,393.00,5.200
16911,0.000,200,402.00,5.241
17003,0.000,200,451.00,5.468
17095,0.000,200,470.00,5.555