ms,pos,steps,strain,g
0,0.000,200,1258.00,9.194
2,0.000,200,1165.00,8.764
54,0.000,200,977.00,7.896
145,0.000,200,470.00,5.555
238,0.000,200,364.00,5.066
329,0.000,200,354.00,5.020
421,0.000,200,371.00,5.098
512,0.000,200,218.00,4.392
604,0.000,200,44.00,3.589
695,0.000,200,-82.00,3.007
787,0.000,200,-285.00,2.070
879,0.000,200,-466.00,1.234
971,0.000,200,-668.00,0.301
1062,0.000,200,-809.00,-0.350
1153,0.000,200,-939.00,-0.950
1245,0.000,200,-1117.00,-1.772
1336,0.000,200,-1167.00,-2.003
1428,0.000,200,-1203.00,-2.169
1520,0.000,200,-1312.00,-2.672
1612,0.000,200,-1630.00,-4.140
1703,0.000,200,-1748.00,-4.685
1795,0.000,200,-1744.00,-4.667
1886,0.000,200,-1781.00,-4.837
1978,0.000,200,-1939.00,-5.567
2069,0.000,200,-2081.00,-6.223
2162,0.000,200,-2129.00,-6.444
2253,0.000,200,-2156.00,-6.569
2345,0.000,200,-2334.00,-7.391
2436,0.000,200,-2471.00,-8.023
2527,0.000,200,-2582.00,-8.536
2619,0.000,200,-2663.00,-8.910
2710,0.000,200,-2642.00,-8.813
2803,0.000,200,-2720.00,-9.173
2894,0.000,200,-2961.00,-10.285
2986,0.000,200,-3027.00,-10.590
3077,0.000,200,-3158.00,-11.195
3169,0.000,200,-3331.00,-11.994
3260,0.000,200,-3378.00,-12.211
3353,0.000,200,-3514.00,-12.839
3444,0.000,200,-3613.00,-13.296
3536,0.000,200,-3718.00,-13.780
3627,0.000,200,-3914.00,-14.685
3719,0.000,200,-4026.00,-15.203
3810,0.000,200,-4046.00,-15.295
3902,0.000,200,-4078.00,-15.443
3994,0.000,200,-4121.00,-15.641
4085,0.000,200,-4281.00,-16.380
4177,0.000,200,-4368.00,-16.782
4268,0.000,200,-4483.00,-17.312
4360,0.000,200,-4512.00,-17.446
4451,0.000,200,-4592.00,-17.816
4543,0.000,200,-4649.00,-18.079
4635,0.000,200,-4645.00,-18.060
