ms,pos,steps,strain,g
0,0.000,200,520.00,5.786
2,0.000,200,449.00,5.458
46,0.000,200,256.00,4.567
138,0.000,200,-222.00,2.360
230,0.000,200,-287.00,2.060
322,0.000,200,-283.00,2.079
413,0.000,200,-243.00,2.263
504,0.000,200,-245.00,2.254
596,0.000,200,-281.00,2.088
687,0.000,200,-491.00,1.118
779,0.000,200,-699.00,0.158
871,0.000,200,-769.00,-0.165
963,0.000,200,-871.00,-0.636
1054,0.000,200,-914.00,-0.835
1146,0.000,200,-940.00,-0.955
1237,0.000,200,-943.00,-0.968
1329,0.000,200,-1077.00,-1.587
1420,0.000,200,-1150.00,-1.924
1513,0.000,200,-1198.00,-2.146
1604,0.000,200,-1321.00,-2.714
1695,0.000,200,-1401.00,-3.083
1787,0.000,200,-1471.00,-3.406
1878,0.000,200,-1522.00,-3.642
1970,0.000,200,-1631.00,-4.145
2061,0.000,200,-1648.00,-4.223
2154,0.000,200,-1744.00,-4.667
2245,0.000,200,-1801.00,-4.930
2337,0.000,200,-1874.00,-5.267
2428,0.000,200,-1907.00,-5.419
2520,0.000,200,-1828.00,-5.054
2611,0.000,200,-1909.00,-5.428
2704,0.000,200,-1961.00,-5.668
2795,0.000,200,-1907.00,-5.419
2886,0.000,200,-1833.00,-5.078
2978,0.000,200,-1925.00,-5.502
3069,0.000,200,-1997.00,-5.835
3161,0.000,200,-2076.00,-6.199
3252,0.000,200,-2092.00,-6.273
3345,0.000,200,-2026.00,-5.969
3436,0.000,200,-2162.00,-6.596
3528,0.000,200,-2294.00,-7.206
3619,0.000,200,-2333.00,-7.386
3711,0.000,200,-2301.00,-7.238
3802,0.000,200,-2359.00,-7.506
3894,0.000,200,-2492.00,-8.120
3986,0.000,200,-2549.00,-8.383
4077,0.000,200,-2596.00,-8.600
4169,0.000,200,-2590.00,-8.573
4260,0.000,200,-2646.00,-8.831
4352,0.000,200,-2824.00,-9.653
4443,0.000,200,-2759.00,-9.353
4535,0.000,200,-2700.00,-9.080
4627,0.000,200,-2729.00,-9.214
4719,0.000,200,-2780.00,-9.450
4810,0.000,200,-2902.00,-10.013
4902,0.000,200,-2900.00,-10.004
4993,0.000,200,-2923.00,-10.110
5085,0.000,200,-3014.00,-10.530
5176,0.000,200,-3034.00,-10.622
5269,0.000,200,-3047.00,-10.683
5360,0.000,200,-3106.00,-10.955
5451,0.000,200,-3080.00,-10.835
5543,0.000,200,-3032.00,-10.613
5634,0.000,200,-3125.00,-11.043
5726,0.000,200,-3274.00,-11.731
5817,0.000,200,-3287.00,-11.791
5910,0.000,200,-3394.00,-12.285
6001,0.000,200,-3535.00,-12.936
6093,0.000,200,-3573.00,-13.111
6184,0.000,200,-3457.00,-12.575
6276,0.000,200,-3499.00,-12.769
6367,0.000,200,-3615.00,-13.305
6460,0.000,200,-3706.00,-13.725
6551,0.000,200,-3770.00,-14.021
6643,0.000,200,-3769.00,-14.016
6734,0.000,200,-3781.00,-14.071
6825,0.000,200,-3794.00,-14.131
6917,0.000,200,-3825.00,-14.275
7008,0.000,200,-3971.00,-14.949
7101,0.000,200,-4041.00,-15.272
7192,0.000,200,-3997.00,-15.069
7284,0.000,200,-4088.00,-15.489
7375,0.000,200,-4122.00,-15.646
7467,0.000,200,-4130.00,-15.683
7558,0.000,200,-4145.00,-15.752
7650,0.000,200,-4113.00,-15.604
7742,0.000,200,-4227.00,-16.131
7834,0.000,200,-4200.00,-16.006
7925,0.000,200,-4230.00,-16.144
8016,0.000,200,-4343.00,-16.666
8108,0.000,200,-4379.00,-16.832
8199,0.000,200,-4458.00,-17.197
8291,0.000,200,-4518.00,-17.474
8383,0.000,200,-4483.00,-17.312
8475,0.000,200,-4463.00,-17.220
8566,0.000,200,-4363.00,-16.758
8658,0.000,200,-4182.00,-15.923
8749,0.000,200,-4026.00,-15.203
8841,0.000,200,-3948.00,-14.842
8932,0.000,200,-3845.00,-14.367
9025,0.000,200,-3720.00,-13.790
9116,0.000,200,-3586.00,-13.171
9207,0.000,200,-3494.00,-12.746
9299,0.000,200,-3414.00,-12.377
9390,0.000,200,-3259.00,-11.661
9482,0.000,200,-3160.00,-11.204
9574,0.000,200,-3106.00,-10.955
9666,0.000,200,-2966.00,-10.309
9757,0.000,200,-2866.00,-9.847
9849,0.000,200,-2815.00,-9.611
9940,0.000,200,-2723.00,-9.187
10032,0.000,200,-2586.00,-8.554
10123,0.000,200,-2647.00,-8.836
10215,0.000,200,-2577.00,-8.513
10307,0.000,200,-2412.00,-7.751
10398,0.000,200,-2390.00,-7.649
10490,0.000,200,-2394.00,-7.668
10581,0.000,200,-2263.00,-7.063
10673,0.000,200,-2172.00,-6.643
10764,0.000,200,-2098.00,-6.301
10857,0.000,200,-2013.00,-5.909
10948,0.000,200,-2011.00,-5.899
11040,0.000,200,-1974.00,-5.729
11131,0.000,200,-1913.00,-5.447
11223,0.000,200,-1876.00,-5.276
11314,0.000,200,-1774.00,-4.805
11405,0.000,200,-1715.00,-4.533
11498,0.000,200,-1681.00,-4.376
11589,0.000,200,-1706.00,-4.491
11681,0.000,200,-1608.00,-4.039
11772,0.000,200,-1594.00,-3.974
11864,0.000,200,-1532.00,-3.688
11955,0.000,200,-1524.00,-3.651
12048,0.000,200,-1436.00,-3.245
12139,0.000,200,-1339.00,-2.797
12231,0.000,200,-1329.00,-2.751
12322,0.000,200,-1267.00,-2.464
12414,0.000,200,-1229.00,-2.289
12505,0.000,200,-1144.00,-1.896
12596,0.000,200,-1081.00,-1.606
12689,0.000,200,-1024.00,-1.342
12780,0.000,200,-967.00,-1.079
12872,0.000,200,-975.00,-1.116
12963,0.000,200,-1010.00,-1.278
13055,0.000,200,-941.00,-0.959
13146,0.000,200,-924.00,-0.881
13238,0.000,200,-865.00,-0.608
13330,0.000,200,-822.00,-0.410
13421,0.000,200,-761.00,-0.128
13513,0.000,200,-723.00,0.047
13604,0.000,200,-749.00,-0.073
13696,0.000,200,-716.00,0.080
13787,0.000,200,-639.00,0.435
13879,0.000,200,-611.00,0.564
13971,0.000,200,-670.00,0.292
14063,0.000,200,-627.00,0.491
14154,0.000,200,-610.00,0.569
14246,0.000,200,-585.00,0.684
14337,0.000,200,-574.00,0.735
14429,0.000,200,-549.00,0.851
14520,0.000,200,-486.00,1.142
14612,0.000,200,-429.00,1.405
14704,0.000,200,-394.00,1.566
14795,0.000,200,-392.00,1.576
14887,0.000,200,-430.00,1.400
14978,0.000,200,-391.00,1.580
15070,0.000,200,-217.00,2.384
15161,0.000,200,-267.00,2.153
15254,0.000,200,-198.00,2.471
15345,0.000,200,-105.00,2.901
15437,0.000,200,-93.00,2.956
15528,0.000,200,-47.00,3.168
15620,0.000,200,-61.00,3.104
15711,0.000,200,-126.00,2.804
15804,0.000,200,-143.00,2.725
15895,0.000,200,-64.00,3.090
15986,0.000,200,-3.00,3.372
16078,0.000,200,10.00,3.432
16169,0.000,200,-88.00,2.979
16261,0.000,200,-238.00,2.287
16352,0.000,200,-171.00,2.596
16445,0.000,200,-18.00,3.302
16536,0.000,200,123.00,3.953
16628,0.000,200,59.00,3.658
16719,0.000,200,113.00,3.907
16811,0.000,200,202.00,4.318
16902,0.000,200,250.00,4.540
16994,0.000,200,358.00,5.038
17086,0.000,200,407.00,5.264
17177,0.000,200,454.00,5.481
17269,0.000,200,406.00,5.260
17360,0.000,200,355.00,5.024
17452,0.000,200,457.00,5.495
17543,0.000,200,481.00,5.606
17635,0.000,200,341.00,4.960
17727,0.000,200,298.00,4.761
17819,0.000,200,272.00,4.641
17910,0.000,200,277.00,4.664
18002,0.000,200,283.00,4.692
18093,0.000,200,279.00,4.674
18185,0.000,200,187.00,4.249
18276,0.000,200,165.00,4.147
18369,0.000,200,202.00,4.318
18460,0.000,200,299.00,4.766
18551,0.000,200,348.00,4.992
18643,0.000,200,276.00,4.660
18734,0.000,200,183.00,4.230
18826,0.000,200,134.00,4.004
18918,0.000,200,232.00,4.457
19010,0.000,200,294.00,4.743
19101,0.000,200,258.00,4.577
19193,0.000,200,261.00,4.590
19284,0.000,200,261.00,4.590
19376,0.000,200,89.00,3.796
19467,0.000,200,86.00,3.782
19559,0.000,200,114.00,3.912
19651,0.000,200,163.00,4.138
19742,0.000,200,199.00,4.304
19834,0.000,200,293.00,4.738
19925,0.000,200,441.00,5.421
20017,0.000,200,413.00,5.292
