ms,pos,steps,strain,g
0,0.000,200,345.00,4.978
2,0.000,200,323.00,4.877
92,0.000,200,-112.00,2.868
183,0.000,200,-951.00,-1.005
275,0.000,200,-1867.00,-5.234
366,0.000,200,-2623.00,-8.725
458,0.000,200,-3241.00,-11.578
550,0.000,200,-3600.00,-13.236
642,0.000,200,-3869.00,-14.478
733,0.000,200,-4114.00,-15.609
825,0.000,200,-4181.00,-15.918
916,0.000,200,-4287.00,-16.408
1008,0.000,200,-4205.00,-16.029
1099,0.000,200,-3734.00,-13.854
1191,0.000,200,-2953.00,-10.249
1283,0.000,200,-2165.00,-6.610
1374,0.000,200,-1485.00,-3.471
1466,0.000,200,-794.00,-0.280
1557,0.000,200,-163.00,2.633
1649,0.000,200,213.00,4.369
1740,0.000,200,593.00,6.123
1833,0.000,200,979.00,7.905
1924,0.000,200,1016.00,8.076
2016,0.000,200,862.00,7.365
2107,0.000,200,742.00,6.811
2198,0.000,200,709.00,6.659
2290,0.000,200,804.00,7.097
2382,0.000,200,798.00,7.070
2474,0.000,200,833.00,7.231
2565,0.000,200,884.00,7.467
2657,0.000,200,875.00,7.425
2748,0.000,200,825.00,7.194
2840,0.000,200,889.00,7.490
2931,0.000,200,955.00,7.795
3024,0.000,200,836.00,7.245
3115,0.000,200,762.00,6.904
3207,0.000,200,689.00,6.566
3298,0.000,200,574.00,6.036
3390,0.000,200,589.00,6.105
3481,0.000,200,617.00,6.234
3572,0.000,200,595.00,6.132
3665,0.000,200,562.00,5.980
3756,0.000,200,581.00,6.068
3848,0.000,200,563.00,5.985
3939,0.000,200,614.00,6.220
4031,0.000,200,708.00,6.654
4122,0.000,200,799.00,7.074
4214,0.000,200,753.00,6.862
4306,0.000,200,707.00,6.650
4398,0.000,200,728.00,6.747
4489,0.000,200,816.00,7.153