Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,601.308,294.939,0,182.4,0,0,NA,NA,NA,NA,NA
2,1,2,599.963,294.939,0,179,1.345,1.345,NA,1.345,NA,180,NA
3,1,3,596.825,294.715,0,192.7,4.49,4.488,NA,3.146,NA,-175.914,4.086
4,1,4,594.36,294.042,0,199,7.046,7.005,NA,2.555,NA,-164.745,11.17
5,1,5,591.222,292.025,0,182.4,10.776,10.498,NA,3.73,NA,-147.265,17.48
6,1,6,587.636,290.905,0,150.7,14.533,14.254,NA,3.757,NA,-162.646,-15.381
7,1,7,584.051,290.008,0,168.4,18.229,17.948,NA,3.696,NA,-165.964,-3.318
8,1,8,581.361,290.456,0,173,20.955,20.444,NA,2.727,NA,170.538,-23.499
9,1,9,578.224,292.025,0,204.7,24.463,23.267,NA,3.508,NA,153.435,-17.103
10,1,10,575.758,293.818,0,206.9,27.512,25.574,NA,3.048,NA,143.973,-9.462
11,1,11,571.948,295.835,0,209.5,31.823,29.373,NA,4.311,NA,152.103,8.13
12,1,12,568.811,295.835,0,204.9,34.96,32.509,NA,3.138,NA,180,27.897
13,1,13,563.656,296.284,0,210.2,40.135,37.676,NA,5.174,NA,175.03,-4.97
14,1,14,558.725,295.611,0,210.5,45.111,42.588,NA,4.976,NA,-172.235,12.735
15,1,15,556.484,295.387,0,212.1,47.363,44.826,NA,2.252,NA,-174.289,-2.055
16,2,1,642.994,297.404,0,195.4,0,0,NA,NA,NA,NA,NA
17,2,2,641.201,297.18,0,195.1,1.807,1.807,NA,1.807,NA,-172.875,NA
18,2,3,637.839,296.956,0,198.9,5.176,5.174,NA,3.369,NA,-176.186,-3.311
19,2,4,635.149,295.611,0,198.9,8.183,8.046,NA,3.007,NA,-153.435,22.751
20,2,5,631.339,294.491,0,171,12.154,12.013,NA,3.971,NA,-163.61,-10.176
21,2,6,628.65,292.474,0,199.9,15.516,15.167,NA,3.362,NA,-143.13,20.48
22,2,7,625.736,291.801,0,177.8,18.506,18.144,NA,2.99,NA,-167.005,-23.875
23,2,8,624.616,292.474,0,185,19.813,19.028,NA,1.307,NA,149.036,-43.958
24,2,9,623.495,294.939,0,189.3,22.521,19.653,NA,2.708,NA,114.444,-34.592
25,2,10,619.909,297.628,0,183.7,27.003,23.085,NA,4.482,NA,143.13,28.686
26,2,11,617.668,299.421,0,188.6,29.874,25.405,NA,2.87,NA,141.34,-1.79
27,2,12,616.324,299.869,0,174.2,31.291,26.784,NA,1.417,NA,161.565,20.225
28,2,13,612.962,300.318,0,188.6,34.682,30.173,NA,3.392,NA,172.405,10.84
29,2,14,609.376,301.214,0,182.4,38.379,33.833,NA,3.696,NA,165.964,-6.442
30,2,15,605.79,300.542,0,190.6,42.027,37.336,NA,3.648,NA,-169.38,24.656
31,3,1,627.081,248.546,0,75.2,0,0,NA,NA,NA,NA,NA
32,3,2,624.392,246.978,0,79.7,3.114,3.114,NA,3.114,NA,-149.744,NA
33,3,3,621.926,245.409,0,152.2,6.036,6.035,NA,2.922,NA,-147.529,2.215
34,3,4,619.909,244.064,0,113.7,8.46,8.457,NA,2.424,NA,-146.31,1.219
35,3,5,618.116,242.495,0,71.4,10.842,10.816,NA,2.382,NA,-138.814,7.496
36,3,6,615.203,242.047,0,202,13.79,13.54,NA,2.948,NA,-171.254,-32.44
37,3,7,613.634,242.271,0,174.9,15.375,14.839,NA,1.585,NA,171.87,-16.876
38,3,8,611.617,244.064,0,192.5,18.074,16.101,NA,2.699,NA,138.366,-33.503
39,3,9,609.824,246.081,0,49.6,20.772,17.432,NA,2.699,NA,131.634,-6.733
40,3,10,606.911,248.322,0,102,24.448,20.172,NA,3.676,NA,142.431,10.798
41,3,11,603.549,250.339,0,149.6,28.369,23.601,NA,3.92,NA,149.036,6.605
42,3,12,599.739,252.581,0,74,32.789,27.638,NA,4.42,NA,149.534,0.498
43,3,13,594.808,253.253,0,60.1,37.765,32.614,NA,4.976,NA,172.235,22.7
44,3,14,591.222,253.029,0,50.9,41.358,36.138,NA,3.593,NA,-176.424,11.342
45,3,15,588.309,250.788,0,59.1,45.034,38.837,NA,3.676,NA,-142.431,33.992
