Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,708.288,357.527,0,17,0,0,NA,NA,NA,NA,NA
2,1,2,708.288,357.527,0,17,0,0,NA,0,NA,0,NA
3,1,3,708.288,357.527,0,18,0,0,NA,0,NA,0,0
4,1,4,708.288,357.527,0,18,0,0,NA,0,NA,0,0
5,1,5,708.644,357.527,0,13.5,0.356,0.356,NA,0.356,NA,0,0
6,1,6,709,357.527,0,13.5,0.712,0.712,NA,0.356,NA,0,0
7,1,7,709.712,357.527,0,14.5,1.424,1.424,NA,0.712,NA,0,0
8,1,8,710.424,357.527,0,16.2,2.137,2.137,NA,0.712,NA,0,0
9,1,9,711.137,357.527,0,16.2,2.849,2.849,NA,0.712,NA,0,0
10,1,10,711.493,357.171,0,18,3.352,3.225,NA,0.504,NA,-45,-45
11,1,11,711.849,356.815,0,16,3.856,3.632,NA,0.504,NA,-45,0
12,1,12,712.917,356.102,0,18.4,5.14,4.844,NA,1.284,NA,-33.69,11.31
13,1,13,713.273,355.39,0,18,5.936,5.424,NA,0.796,NA,-63.435,-29.745
14,1,14,714.698,354.678,0,18.2,7.529,7.014,NA,1.593,NA,-26.565,36.87
15,1,15,715.41,354.678,0,19.2,8.241,7.671,NA,0.712,NA,0,26.565
16,1,16,718.971,354.678,0,18.2,11.802,11.056,NA,3.561,NA,0,0
17,1,17,718.971,358.595,0,25.6,15.719,10.736,NA,3.917,NA,90,90
18,1,18,720.039,361.444,0,29.9,18.762,12.387,NA,3.043,NA,69.444,-20.556
19,1,19,721.107,362.156,0,32.2,20.046,13.63,NA,1.284,NA,33.69,-35.754
20,1,20,723.244,362.156,0,30.2,22.182,15.656,NA,2.137,NA,0,-33.69
21,1,21,726.093,363.224,0,30.9,25.225,18.695,NA,3.043,NA,20.556,20.556
22,1,22,728.586,363.224,0,21.8,27.717,21.082,NA,2.493,NA,0,-20.556
23,1,23,731.078,363.224,0,20.8,30.21,23.492,NA,2.493,NA,0,0
24,1,24,732.859,362.156,0,21,32.287,25.003,NA,2.076,NA,-30.964,-30.964
25,1,25,737.488,360.732,0,21,37.13,29.376,NA,4.844,NA,-17.103,13.861
26,1,26,743.542,355.746,0,23,44.972,35.299,NA,7.842,NA,-39.472,-22.37
27,1,27,747.459,352.541,0,16,50.034,39.487,NA,5.061,NA,-39.289,0.183
28,1,28,753.869,348.98,0,28.6,57.366,46.375,NA,7.333,NA,-29.055,10.235
29,1,29,756.718,351.117,0,25.6,60.927,48.852,NA,3.561,NA,36.87,65.925
30,1,30,761.703,354.322,0,18.4,66.854,53.511,NA,5.927,NA,32.735,-4.135
31,1,31,764.552,357.171,0,21.6,70.883,56.265,NA,4.029,NA,45,12.265
32,1,32,769.537,358.595,0,25.8,76.068,61.259,NA,5.185,NA,15.945,-29.055
33,1,33,771.674,362.512,0,18.8,80.53,63.582,NA,4.462,NA,61.39,45.444
34,1,34,773.098,363.581,0,14.7,82.31,65.093,NA,1.781,NA,36.87,-24.52
35,1,35,773.811,365.717,0,15.1,84.562,66.033,NA,2.252,NA,71.565,34.695
36,1,36,776.659,365.717,0,16.1,87.411,68.86,NA,2.849,NA,0,-71.565
37,1,37,779.508,365.717,0,15.8,90.26,71.69,NA,2.849,NA,0,0
38,1,38,782.001,365.717,0,16.8,92.753,74.167,NA,2.493,NA,0,0
39,1,39,784.494,365.005,0,25,95.345,76.572,NA,2.592,NA,-15.945,-15.945
40,1,40,788.055,364.649,0,23.8,98.924,80.084,NA,3.579,NA,-5.711,10.235
41,1,41,793.752,362.512,0,25.4,105.009,85.61,NA,6.085,NA,-20.556,-14.845
