Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,651.851,359.448,0,31.1,0,0,NA,NA,NA,NA,NA
2,1,2,649.804,360.13,0,31.3,2.158,2.158,NA,2.158,NA,161.565,NA
3,1,3,649.463,360.471,0,28.9,2.64,2.598,NA,0.483,NA,135,-26.565
4,1,4,648.098,360.471,0,34.3,4.005,3.89,NA,1.365,NA,180,45
5,1,5,648.098,360.471,0,31.3,4.005,3.89,NA,0,NA,0,-180
6,1,6,646.392,360.471,0,29.6,5.711,5.554,NA,1.706,NA,180,180
7,1,7,644.345,360.471,0,32.3,7.758,7.576,NA,2.047,NA,180,0
8,1,8,643.663,360.471,0,28.9,8.441,8.252,NA,0.682,NA,180,0
9,1,9,640.592,360.471,0,27.3,11.511,11.306,NA,3.071,NA,180,0
10,1,10,638.203,360.471,0,24.9,13.9,13.686,NA,2.388,NA,180,0
11,1,11,632.744,360.13,0,22,19.37,19.119,NA,5.47,NA,-176.424,3.576
12,1,12,625.579,360.13,0,20.5,26.535,26.281,NA,7.165,NA,180,-3.576
13,1,13,620.461,360.813,0,25.1,31.698,31.42,NA,5.163,NA,172.405,-7.595
14,1,14,614.661,360.471,0,17.9,37.508,37.204,NA,5.81,NA,-176.634,10.961
15,1,15,607.496,359.789,0,17.9,44.706,44.357,NA,7.197,NA,-174.56,2.074
16,1,16,601.354,357.742,0,22.1,51.179,50.526,NA,6.474,NA,-161.565,12.995
17,1,17,593.166,356.377,0,35.7,59.481,58.766,NA,8.302,NA,-170.538,-8.973
18,1,18,588.048,356.036,0,29.7,64.61,63.894,NA,5.129,NA,-176.186,-5.648
19,1,19,578.494,356.718,0,25.4,74.188,73.407,NA,9.578,NA,175.914,-7.9
20,1,20,572.694,356.377,0,28.7,79.998,79.217,NA,5.81,NA,-176.634,7.452
21,1,21,563.823,354.671,0,29.9,89.032,88.158,NA,9.034,NA,-169.114,7.519
22,1,22,557.682,355.354,0,31,95.211,94.259,NA,6.179,NA,173.66,-17.226
23,1,23,551.54,356.036,0,27.7,101.391,100.369,NA,6.179,NA,173.66,0
24,1,24,545.057,356.377,0,31.4,107.882,106.838,NA,6.492,NA,176.987,3.327
25,2,1,699.618,362.177,0,27.7,0,0,NA,NA,NA,NA,NA
26,2,2,697.571,361.495,0,28.7,2.158,2.158,NA,2.158,NA,-161.565,NA
27,2,3,696.206,361.836,0,23,3.565,3.429,NA,1.407,NA,165.964,-32.471
28,2,4,694.842,361.836,0,23,4.929,4.789,NA,1.365,NA,180,14.036
29,2,5,693.477,361.836,0,23,6.294,6.151,NA,1.365,NA,180,0
30,2,6,692.112,361.836,0,23,7.659,7.514,NA,1.365,NA,180,0
31,2,7,689.041,361.495,0,24.1,10.749,10.599,NA,3.09,NA,-173.66,6.34
32,2,8,684.947,361.495,0,23,14.843,14.687,NA,4.094,NA,180,-6.34
33,2,9,681.535,360.471,0,27.7,18.405,18.164,NA,3.562,NA,-163.301,16.699
34,2,10,677.782,360.471,0,23,22.158,21.903,NA,3.753,NA,180,-16.699
35,2,11,673.346,360.13,0,21.7,26.607,26.352,NA,4.449,NA,-175.601,4.399
36,2,12,667.887,358.083,0,22.8,32.437,31.994,NA,5.83,NA,-159.444,16.157
37,2,13,663.111,358.083,0,20.5,37.214,36.737,NA,4.777,NA,180,-20.556
38,2,14,659.357,358.424,0,30.9,40.983,40.435,NA,3.769,NA,174.806,-5.194
39,2,15,654.922,359.107,0,31.9,45.47,44.802,NA,4.488,NA,171.254,-3.552
40,2,16,652.534,358.766,0,25.1,47.883,47.208,NA,2.413,NA,-171.87,16.876
41,2,17,652.192,358.766,0,24.2,48.224,47.549,NA,0.341,NA,180,-8.13
