Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,609.001,346.239,0,29.7,0,0,NA,NA,NA,NA,NA
2,1,2,608.744,346.496,0,29.7,0.363,0.363,NA,0.363,NA,135,NA
3,1,3,608.744,346.496,0,28.7,0.363,0.363,NA,0,NA,0,-135
4,1,4,607.203,346.496,0,39.2,1.904,1.816,NA,1.541,NA,180,180
5,1,5,606.175,347.01,0,25.4,3.053,2.929,NA,1.149,NA,153.435,-26.565
6,1,6,604.891,347.267,0,25.2,4.363,4.236,NA,1.31,NA,168.69,15.255
7,1,7,603.864,347.267,0,24,5.39,5.239,NA,1.027,NA,180,11.31
8,1,8,602.066,346.496,0,26.7,7.346,6.94,NA,1.956,NA,-156.801,23.199
9,1,9,600.781,346.496,0,21.5,8.631,8.223,NA,1.284,NA,180,-23.199
10,1,10,600.524,346.496,0,21.6,8.887,8.48,NA,0.257,NA,180,0
11,1,11,597.956,346.239,0,23.9,11.469,11.045,NA,2.581,NA,-174.289,5.711
12,1,12,594.617,346.496,0,23.3,14.818,14.386,NA,3.349,NA,175.601,-10.109
13,1,13,592.819,346.239,0,23.9,16.634,16.182,NA,1.816,NA,-171.87,12.529
14,1,14,590.25,345.982,0,22.9,19.215,18.752,NA,2.581,NA,-174.289,-2.42
15,1,15,588.966,345.982,0,26.3,20.5,20.036,NA,1.284,NA,180,-5.711
16,1,16,583.058,344.955,0,29.9,26.496,25.974,NA,5.996,NA,-170.134,9.866
17,1,17,577.408,343.671,0,14.9,32.291,31.697,NA,5.795,NA,-167.196,2.938
18,1,18,571.5,341.359,0,25,38.635,37.817,NA,6.344,NA,-158.629,8.566
19,2,1,658.573,348.294,0,28.4,0,0,NA,NA,NA,NA,NA
20,2,2,657.032,348.294,0,23,1.541,1.541,NA,1.541,NA,180,NA
21,2,3,656.005,347.267,0,27.8,2.994,2.766,NA,1.453,NA,-135,45
22,2,4,655.491,347.267,0,26.8,3.508,3.249,NA,0.514,NA,180,-45
23,2,5,654.978,347.267,0,28.8,4.022,3.74,NA,0.514,NA,180,0
24,2,6,654.978,347.267,0,28.8,4.022,3.74,NA,0,NA,0,-180
25,2,7,654.978,347.267,0,28.8,4.022,3.74,NA,0,NA,0,0
26,2,8,654.464,347.267,0,25.2,4.535,4.236,NA,0.514,NA,180,180
27,2,9,654.464,347.267,0,28.4,4.535,4.236,NA,0,NA,0,-180
28,2,10,653.436,347.267,0,27.4,5.563,5.239,NA,1.027,NA,180,180
29,2,11,651.382,347.267,0,26.4,7.617,7.265,NA,2.055,NA,180,0
30,2,12,651.382,347.267,0,30.9,7.617,7.265,NA,0,NA,0,-180
31,2,13,648.299,347.267,0,31.1,10.7,10.325,NA,3.082,NA,180,180
32,2,14,645.217,347.267,0,27.6,13.782,13.396,NA,3.082,NA,180,0
33,2,15,639.566,347.267,0,31.2,19.433,19.035,NA,5.651,NA,180,0
34,2,16,634.429,347.267,0,26.6,24.57,24.166,NA,5.137,NA,180,0
35,2,17,630.32,347.267,0,28.7,28.68,28.273,NA,4.11,NA,180,0
36,2,18,625.182,346.239,0,29.1,33.918,33.454,NA,5.239,NA,-168.69,11.31
37,3,1,635.97,279.971,0,46.2,0,0,NA,NA,NA,NA,NA
38,3,2,634.943,279.971,0,98.7,1.027,1.027,NA,1.027,NA,180,NA
39,3,3,634.943,279.457,0,207.8,1.541,1.149,NA,0.514,NA,-90,90
40,3,4,634.943,279.457,0,200.8,1.541,1.149,NA,0,NA,0,90
41,3,5,634.943,279.457,0,200.8,1.541,1.149,NA,0,NA,0,0
42,3,6,633.402,278.943,0,218.7,3.166,2.766,NA,1.624,NA,-161.565,-161.565
43,3,7,633.402,278.943,0,204.3,3.166,2.766,NA,0,NA,0,161.565
44,3,8,631.861,278.943,0,222.6,4.707,4.236,NA,1.541,NA,180,180
45,3,9,630.32,279.457,0,210.4,6.331,5.674,NA,1.624,NA,161.565,-18.435
46,3,10,628.265,279.457,0,199.5,8.386,7.723,NA,2.055,NA,180,18.435
47,3,11,626.724,278.943,0,191.4,10.011,9.304,NA,1.624,NA,-161.565,18.435
48,3,12,624.155,278.943,0,184.4,12.579,11.86,NA,2.569,NA,180,-18.435
49,3,13,621.587,278.943,0,203.3,15.148,14.42,NA,2.569,NA,180,0
50,3,14,617.477,279.457,0,191.7,19.289,18.501,NA,4.142,NA,172.875,-7.125
51,3,15,613.881,278.43,0,174.2,23.029,22.143,NA,3.74,NA,-164.055,23.07
52,3,16,611.312,278.43,0,147,25.598,24.706,NA,2.569,NA,180,-15.945
53,3,17,607.203,278.43,0,117,29.707,28.809,NA,4.11,NA,180,0
54,3,18,602.579,279.971,0,21.1,34.581,33.391,NA,4.873,NA,161.565,-18.435
