Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,579.804,284.763,0,188.2,0,0,NA,NA,NA,NA,NA
2,1,2,579.804,284.763,0,184.1,0,0,NA,0,NA,0,NA
3,1,3,578.519,283.907,0,167.5,1.544,1.544,NA,1.544,NA,-146.31,-146.31
4,1,4,578.519,282.194,0,165.4,3.257,2.873,NA,1.713,NA,-90,56.31
5,1,5,578.091,282.194,0,155.6,3.685,3.088,NA,0.428,NA,180,-90
6,1,6,576.378,282.622,0,142.9,5.451,4.04,NA,1.766,NA,165.964,-14.036
7,1,7,575.521,283.05,0,124.6,6.408,4.612,NA,0.958,NA,153.435,-12.529
8,1,8,573.809,283.907,0,115.3,8.323,6.056,NA,1.915,NA,153.435,0
9,1,9,570.811,283.907,0,126.9,11.321,9.033,NA,2.998,NA,180,26.565
10,1,10,567.814,284.335,0,132.6,14.349,11.998,NA,3.028,NA,171.87,-8.13
11,1,11,564.816,283.907,0,124.3,17.377,15.012,NA,3.028,NA,-171.87,16.26
12,1,12,561.39,283.907,0,166.4,20.802,18.433,NA,3.426,NA,180,-8.13
13,1,13,559.678,283.907,0,170.8,22.515,20.144,NA,1.713,NA,180,0
14,1,14,554.111,283.479,0,179.4,28.098,25.725,NA,5.583,NA,-175.601,4.399
15,1,15,549.829,282.194,0,191,32.569,30.085,NA,4.471,NA,-163.301,12.301
16,1,16,545.975,282.194,0,192,36.423,33.926,NA,3.854,NA,180,-16.699
17,1,17,540.408,281.766,0,193.3,42.006,39.51,NA,5.583,NA,-175.601,4.399
18,1,18,532.7,281.766,0,194.4,49.714,47.199,NA,7.708,NA,180,-4.399
19,1,19,526.705,283.05,0,183.8,55.845,53.126,NA,6.131,NA,167.905,-12.095
20,1,20,520.71,283.05,0,134.8,61.84,59.119,NA,5.995,NA,180,12.095
21,1,21,513.002,279.196,0,159.6,70.458,67.033,NA,8.618,NA,-153.435,26.565
22,1,22,507.435,278.768,0,159,76.041,72.616,NA,5.583,NA,-175.601,-22.166
23,1,23,499.299,278.768,0,154.7,84.177,80.727,NA,8.136,NA,180,-4.399
24,1,24,489.878,276.627,0,173.2,93.838,90.293,NA,9.661,NA,-167.196,12.804
25,1,25,480.458,282.194,0,148.7,104.781,99.379,NA,10.943,NA,149.421,-43.383
26,1,26,471.037,287.333,0,167.7,115.512,108.797,NA,10.731,NA,151.39,1.969
27,1,27,464.185,290.758,0,124.5,123.172,115.773,NA,7.66,NA,153.435,2.045
28,1,28,457.334,288.189,0,162.9,130.489,122.518,NA,7.317,NA,-159.444,47.121
29,1,29,449.198,286.904,0,193,138.726,130.623,NA,8.237,NA,-171.027,-11.583
30,1,30,445.772,287.333,0,173.6,142.179,134.056,NA,3.452,NA,172.875,-16.098
31,2,1,621.769,289.474,0,179,0,0,NA,NA,NA,NA,NA
32,2,2,621.769,289.474,0,178,0,0,NA,0,NA,0,NA
33,2,3,622.625,289.045,0,153.7,0.958,0.958,NA,0.958,NA,-26.565,-26.565
34,2,4,622.625,287.333,0,147.5,2.67,2.306,NA,1.713,NA,-90,-63.435
35,2,5,622.625,284.763,0,180.5,5.24,4.788,NA,2.569,NA,-90,0
36,2,6,623.053,284.763,0,181.6,5.668,4.882,NA,0.428,NA,0,90
37,2,7,623.053,289.045,0,155.8,9.95,1.354,NA,4.282,NA,90,90
38,2,8,623.91,292.471,0,178.3,13.481,3.684,NA,3.531,NA,75.964,-14.036
39,2,9,623.91,295.04,0,117.9,16.05,5.964,NA,2.569,NA,90,14.036
40,2,10,623.482,294.612,0,107.9,16.656,5.417,NA,0.606,NA,-135,135
41,2,11,623.482,294.612,0,117.9,16.656,5.417,NA,0,NA,0,135
42,2,12,620.056,294.612,0,146.5,20.082,5.417,NA,3.426,NA,180,180
43,2,13,615.774,295.469,0,130.4,24.449,8.478,NA,4.367,NA,168.69,-11.31
44,2,14,611.492,295.04,0,133.8,28.752,11.688,NA,4.304,NA,-174.289,17.021
45,2,15,607.209,294.184,0,175.8,33.119,15.302,NA,4.367,NA,-168.69,5.599
46,2,16,598.645,294.184,0,184.1,41.684,23.599,NA,8.564,NA,180,-11.31
47,2,17,592.65,294.184,0,183.5,47.679,29.497,NA,5.995,NA,180,0
48,2,18,581.516,291.186,0,194.4,59.209,40.289,NA,11.53,NA,-164.932,15.068
49,2,19,569.526,290.33,0,149,71.229,52.249,NA,12.021,NA,-175.914,-10.983
50,2,20,556.252,283.907,0,183.5,85.976,65.753,NA,14.747,NA,-154.179,21.735
51,2,21,551.113,286.476,0,145.6,91.721,70.719,NA,5.745,NA,153.435,-52.386
52,2,22,539.123,285.62,0,154.6,103.742,82.735,NA,12.021,NA,-175.914,30.651
53,2,23,532.272,288.617,0,158,111.22,89.501,NA,7.478,NA,156.371,-27.715
54,2,24,519.853,288.617,0,167.5,123.639,101.919,NA,12.418,NA,180,23.629
55,2,25,509.576,288.617,0,169.9,133.916,112.196,NA,10.277,NA,180,0
56,2,26,504.438,289.045,0,178.2,139.072,117.332,NA,5.156,NA,175.236,-4.764
57,2,27,497.158,289.045,0,173.2,146.352,124.611,NA,7.28,NA,180,4.764
58,2,28,489.022,289.045,0,155,154.488,132.747,NA,8.136,NA,180,0
59,2,29,484.312,289.045,0,168.9,159.198,137.458,NA,4.71,NA,180,0
60,2,30,480.458,289.045,0,173.2,163.052,141.312,NA,3.854,NA,180,0
61,3,1,606.781,238.088,0,119,0,0,NA,NA,NA,NA,NA
62,3,2,606.781,237.66,0,31.1,0.428,0.428,NA,0.428,NA,-90,NA
63,3,3,606.781,235.947,0,52.1,2.141,2.141,NA,1.713,NA,-90,0
64,3,4,606.781,234.662,0,191.5,3.426,3.426,NA,1.285,NA,-90,0
65,3,5,605.497,235.947,0,11.1,5.242,2.497,NA,1.817,NA,135,-135
66,3,6,605.497,236.375,0,51.7,5.671,2.141,NA,0.428,NA,90,-45
67,3,7,605.497,238.088,0,67.2,7.384,1.285,NA,1.713,NA,90,0
68,3,8,604.212,241.513,0,5.9,11.042,4.282,NA,3.659,NA,110.556,20.556
69,3,9,603.355,244.083,0,62.4,13.751,6.905,NA,2.708,NA,108.435,-2.121
70,3,10,601.214,245.796,0,139.9,16.492,9.508,NA,2.742,NA,141.34,32.905
71,3,11,596.076,248.365,0,169.4,22.238,14.84,NA,5.745,NA,153.435,12.095
72,3,12,592.65,249.221,0,116.1,25.769,17.99,NA,3.531,NA,165.964,12.529
73,3,13,587.94,247.937,0,131.2,30.651,21.26,NA,4.882,NA,-164.745,29.291
74,3,14,581.516,245.367,0,148.7,37.569,26.293,NA,6.918,NA,-158.199,6.546
75,3,15,574.665,244.511,0,99.9,44.474,32.752,NA,6.905,NA,-172.875,-14.676
76,3,16,566.101,241.942,0,101.9,53.415,40.863,NA,8.941,NA,-163.301,9.574
77,3,17,559.249,239.372,0,142.6,60.733,47.549,NA,7.317,NA,-159.444,3.857
78,3,18,552.398,238.944,0,49.8,67.597,54.39,NA,6.865,NA,-176.424,-16.98
79,3,19,545.975,236.375,0,151.8,74.515,60.831,NA,6.918,NA,-158.199,18.225
80,3,20,538.695,236.375,0,149.8,81.795,68.108,NA,7.28,NA,180,-21.801
81,3,21,533.128,235.518,0,114.8,87.427,73.698,NA,5.632,NA,-171.254,8.746
82,3,22,527.99,235.947,0,140.8,92.584,78.821,NA,5.156,NA,175.236,-13.51
83,3,23,521.566,238.088,0,100.9,99.355,85.215,NA,6.771,NA,161.565,-13.671
84,3,24,512.574,240.229,0,28.9,108.598,94.232,NA,9.244,NA,166.608,5.042
85,3,25,506.151,241.085,0,102.1,115.078,100.675,NA,6.48,NA,172.405,5.798
86,3,26,501.012,244.083,0,130.3,121.027,105.939,NA,5.949,NA,149.744,-22.662
87,3,27,496.73,247.08,0,61.3,126.254,110.418,NA,5.227,NA,145.008,-4.736
88,3,28,486.024,248.365,0,34.5,137.037,121.193,NA,10.782,NA,173.157,28.149
89,3,29,483.455,249.221,0,11.2,139.745,123.828,NA,2.708,NA,161.565,-11.592
90,3,30,477.46,249.65,0,29.8,145.755,129.837,NA,6.01,NA,175.914,14.349
