Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,683.803,348.22,0,25.4,0,0,NA,NA,NA,NA,NA
2,1,2,683.803,348.22,0,25.4,0,0,NA,0,NA,0,NA
3,1,3,683.101,348.922,0,24.3,0.993,0.993,NA,0.993,NA,135,135
4,1,4,684.037,348.688,0,24.3,1.958,0.523,NA,0.965,NA,-14.036,-149.036
5,1,5,682.399,348.688,0,23.8,3.596,1.48,NA,1.638,NA,180,-165.964
6,1,6,680.527,348.688,0,24.2,5.468,3.31,NA,1.872,NA,180,0
7,1,7,677.017,348.688,0,24.2,8.978,6.803,NA,3.51,NA,180,0
8,1,8,672.57,345.88,0,31.3,14.237,11.474,NA,5.259,NA,-147.724,32.276
9,1,9,666.252,344.008,0,24.1,20.827,18.05,NA,6.59,NA,-163.496,-15.771
10,1,10,663.443,344.008,0,23,23.635,20.791,NA,2.808,NA,180,-16.504
11,1,11,658.295,346.114,0,20.5,29.198,25.595,NA,5.563,NA,157.751,-22.249
12,1,12,654.551,346.114,0,17.3,32.942,29.328,NA,3.744,NA,180,22.249
13,1,13,647.764,346.114,0,17.4,39.729,36.1,NA,6.787,NA,180,0
14,1,14,644.956,346.114,0,18.4,42.537,38.904,NA,2.808,NA,180,0
15,1,15,642.148,349.624,0,25,47.032,41.679,NA,4.495,NA,128.66,-51.34
16,1,16,639.574,350.092,0,35.7,49.649,44.269,NA,2.616,NA,169.695,41.035
17,1,17,637.467,350.092,0,37.1,51.755,46.374,NA,2.106,NA,180,10.305
18,1,18,632.787,349.624,0,35.7,56.459,51.035,NA,4.704,NA,-174.289,5.711
19,1,19,630.447,349.624,0,25.6,58.799,53.375,NA,2.34,NA,180,-5.711
20,1,20,626.234,347.518,0,13.6,63.509,57.573,NA,4.71,NA,-153.435,26.565
21,1,21,622.958,345.646,0,31.5,67.282,60.899,NA,3.773,NA,-150.255,3.18
22,1,22,619.682,343.072,0,19.9,71.449,64.328,NA,4.167,NA,-141.843,8.412
23,1,23,616.172,341.199,0,17.6,75.427,67.995,NA,3.978,NA,-151.928,-10.085
24,1,24,614.768,341.199,0,15.3,76.831,69.392,NA,1.404,NA,180,-28.072
25,1,25,609.385,341.199,0,22.3,82.213,74.748,NA,5.382,NA,180,0
26,1,26,603.535,340.263,0,30,88.138,80.662,NA,5.925,NA,-170.91,9.09
