Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,2,569.85,282.315,0,170.6,0,0,NA,NA,NA,NA,NA
2,1,3,569.85,282.315,0,166.5,0,0,NA,0,NA,0,NA
3,1,4,568.157,280.622,0,174.8,2.394,2.394,NA,2.394,NA,-135,-135
4,1,5,566.464,278.929,0,166.5,4.789,4.789,NA,2.394,NA,-135,0
5,1,6,563.078,276.671,0,179.2,8.858,8.815,NA,4.07,NA,-146.31,-11.31
6,1,7,560.821,276.671,0,152.5,11.116,10.648,NA,2.257,NA,180,-33.69
7,1,8,558.563,278.364,0,147.7,13.937,11.958,NA,2.822,NA,143.13,-36.87
8,1,9,557.434,280.622,0,131.2,16.461,12.531,NA,2.524,NA,116.565,-26.565
9,1,10,555.177,282.879,0,128.9,19.654,14.684,NA,3.192,NA,135,18.435
10,1,11,552.92,284.008,0,155.9,22.177,17.015,NA,2.524,NA,153.435,18.435
11,1,12,549.534,284.572,0,192.9,25.61,20.442,NA,3.433,NA,170.538,17.103
12,1,13,547.841,284.572,0,150.3,27.303,22.125,NA,1.693,NA,180,9.462
13,1,14,545.583,283.444,0,138.4,29.827,24.293,NA,2.524,NA,-153.435,26.565
14,1,15,542.197,280.058,0,175.6,34.616,27.745,NA,4.789,NA,-135,18.435
15,1,16,539.375,281.186,0,162.5,37.655,30.496,NA,3.039,NA,158.199,-66.801
16,1,17,534.861,281.186,0,178,42.17,35.008,NA,4.515,NA,180,21.801
17,1,18,529.217,282.315,0,187.4,47.925,40.633,NA,5.755,NA,168.69,-11.31
18,1,19,525.267,281.751,0,189.4,51.915,44.587,NA,3.991,NA,-171.87,19.44
19,1,20,520.187,281.186,0,186,57.026,49.675,NA,5.11,NA,-173.66,-1.79
20,1,21,512.287,281.186,0,177.9,64.927,57.575,NA,7.901,NA,180,-6.34
21,1,22,507.772,281.186,0,182.6,69.441,62.089,NA,4.515,NA,180,0
22,1,23,502.128,279.493,0,159.6,75.333,67.78,NA,5.892,NA,-163.301,16.699
23,1,24,496.485,277.236,0,165.3,81.412,73.541,NA,6.078,NA,-158.199,5.102
24,1,25,489.148,277.8,0,151.1,88.77,80.828,NA,7.358,NA,175.601,-26.2
25,1,26,478.99,276.671,0,154.7,98.991,91.035,NA,10.221,NA,-173.66,10.739
26,1,27,470.525,277.8,0,139.7,107.531,99.428,NA,8.54,NA,172.405,-13.935
27,1,28,462.624,280.058,0,142.1,115.748,107.25,NA,8.217,NA,164.055,-8.351
28,1,29,456.981,283.444,0,132.8,122.329,112.875,NA,6.581,NA,149.036,-15.018
29,1,30,450.208,287.958,0,109.4,130.468,119.775,NA,8.139,NA,146.31,-2.726
30,1,31,441.743,287.958,0,158,138.934,128.231,NA,8.465,NA,180,33.69
31,1,32,439.486,286.83,0,114.9,141.457,130.442,NA,2.524,NA,-153.435,26.565
32,1,33,436.664,284.572,0,152.3,145.071,133.205,NA,3.614,NA,-141.34,12.095
33,1,34,432.714,284.572,0,174.8,149.021,137.155,NA,3.95,NA,180,-38.66
34,1,35,431.585,284.572,0,169.1,150.15,138.284,NA,1.129,NA,180,0
35,1,36,432.149,281.751,0,161.5,153.028,137.702,NA,2.878,NA,-78.69,101.31
36,1,37,432.714,280.058,0,163.8,154.812,137.155,NA,1.785,NA,-71.565,7.125
37,1,38,430.456,278.364,0,189.5,157.634,139.45,NA,2.822,NA,-143.13,-71.565
38,1,39,432.149,278.364,0,186.3,159.327,137.757,NA,1.693,NA,0,143.13
39,2,2,607.661,284.572,0,182.6,0,0,NA,NA,NA,NA,NA
40,2,3,606.533,284.572,0,161.9,1.129,1.129,NA,1.129,NA,180,NA
41,2,4,605.968,282.315,0,183.8,3.456,2.822,NA,2.327,NA,-104.036,75.964
42,2,5,605.404,282.315,0,182.6,4.02,3.192,NA,0.564,NA,180,-75.964
43,2,6,603.711,281.751,0,157.1,5.805,4.855,NA,1.785,NA,-161.565,18.435
44,2,7,603.147,281.751,0,166.4,6.369,5.324,NA,0.564,NA,180,-18.435
45,2,8,603.147,280.622,0,181.5,7.498,5.999,NA,1.129,NA,-90,90
46,2,9,602.582,282.315,0,164.1,9.282,5.558,NA,1.785,NA,108.435,-161.565
47,2,10,601.454,284.008,0,151.5,11.317,6.233,NA,2.035,NA,123.69,15.255
48,2,11,602.582,285.701,0,160.9,13.352,5.203,NA,2.035,NA,56.31,-67.38
49,2,12,601.454,287.394,0,151.6,15.387,6.819,NA,2.035,NA,123.69,67.38
50,2,13,602.582,288.523,0,186.3,16.983,6.435,NA,1.596,NA,45,-78.69
51,2,14,602.582,288.523,0,166.2,16.983,6.435,NA,0,NA,0,-45
52,2,15,601.454,289.087,0,195.6,18.245,7.676,NA,1.262,NA,153.435,153.435
53,2,16,594.681,289.651,0,174.9,25.04,13.938,NA,6.796,NA,175.236,21.801
54,2,17,587.345,289.651,0,177.9,32.377,20.942,NA,7.337,NA,180,4.764
55,2,18,578.88,289.651,0,181.5,40.842,29.226,NA,8.465,NA,180,0
56,2,19,570.979,290.78,0,173.4,48.823,37.204,NA,7.981,NA,171.87,-8.13
57,2,20,560.256,290.78,0,133.8,59.546,47.81,NA,10.723,NA,180,8.13
58,2,21,551.791,286.83,0,148.8,68.887,55.916,NA,9.342,NA,-154.983,25.017
59,2,22,540.504,282.315,0,174.8,81.044,67.195,NA,12.156,NA,-158.199,-3.215
60,2,23,533.167,281.186,0,159.4,88.467,74.571,NA,7.423,NA,-171.254,-13.055
61,2,24,526.395,281.186,0,176.5,95.239,81.337,NA,6.772,NA,180,-8.746
62,2,25,519.059,281.186,0,170.8,102.575,88.667,NA,7.337,NA,180,0
63,2,26,508.901,285.701,0,166.3,113.692,98.767,NA,11.116,NA,156.038,-23.962
64,2,27,499.871,287.394,0,166.4,122.879,107.827,NA,9.187,NA,169.38,13.343
65,2,28,492.534,287.394,0,164.3,130.215,115.162,NA,7.337,NA,180,10.62
66,2,29,484.069,289.087,0,166.4,138.848,123.675,NA,8.633,NA,168.69,-11.31
67,2,30,481.812,289.087,0,177.5,141.105,125.93,NA,2.257,NA,180,11.31
68,2,31,475.04,289.087,0,167.7,147.878,132.699,NA,6.772,NA,180,0
69,2,32,470.525,287.958,0,184.9,152.531,137.178,NA,4.654,NA,-165.964,14.036
70,2,33,468.267,287.394,0,183.9,154.858,139.422,NA,2.327,NA,-165.964,0
71,2,34,465.446,287.394,0,191.9,157.68,142.244,NA,2.822,NA,180,-14.036
72,2,35,463.753,287.394,0,188.9,159.373,143.936,NA,1.693,NA,180,0
73,2,36,462.624,286.83,0,191.9,160.635,145.055,NA,1.262,NA,-153.435,26.565
74,2,37,462.06,285.137,0,184.8,162.419,145.603,NA,1.785,NA,-108.435,45
75,2,38,462.06,282.315,0,191.6,165.241,145.619,NA,2.822,NA,-90,18.435
76,2,39,462.06,280.058,0,197.5,167.499,145.672,NA,2.257,NA,-90,0
77,3,1,593.553,235.474,0,94.9,0,0,NA,NA,NA,NA,NA
78,3,2,593.553,234.91,0,12.5,0.564,0.564,NA,0.564,NA,-90,NA
79,3,3,592.424,232.652,0,79.7,3.088,3.039,NA,2.524,NA,-116.565,-26.565
80,3,4,591.86,232.652,0,11.8,3.653,3.291,NA,0.564,NA,180,-63.435
81,3,5,590.731,232.088,0,8.4,4.914,4.408,NA,1.262,NA,-153.435,26.565
82,3,6,590.731,231.524,0,39.1,5.479,4.855,NA,0.564,NA,-90,63.435
83,3,7,589.602,232.652,0,66,7.075,4.855,NA,1.596,NA,135,-135
84,3,8,589.038,234.345,0,94.1,8.86,4.654,NA,1.785,NA,108.435,-26.565
85,3,9,587.909,236.603,0,107.8,11.383,5.755,NA,2.524,NA,116.565,8.13
86,3,10,586.216,239.425,0,77.3,14.674,8.332,NA,3.291,NA,120.964,4.399
87,3,11,585.087,243.375,0,9,18.783,11.579,NA,4.109,NA,105.945,-15.018
88,3,12,581.137,244.504,0,63.5,22.891,15.352,NA,4.109,NA,164.055,58.109
89,3,13,577.187,246.197,0,57.5,27.189,19.566,NA,4.298,NA,156.801,-7.253
90,3,14,572.107,247.325,0,89,32.392,24.502,NA,5.203,NA,167.471,10.67
91,3,15,567.593,246.761,0,56.8,36.942,28.308,NA,4.55,NA,-172.875,19.654
92,3,16,561.385,245.068,0,46.2,43.377,33.568,NA,6.435,NA,-164.745,8.13
93,3,17,554.048,242.811,0,22.1,51.053,40.18,NA,7.676,NA,-162.897,1.848
94,3,18,547.276,237.731,0,127.3,59.518,46.332,NA,8.465,NA,-143.13,19.767
95,3,19,541.633,236.038,0,112.4,65.41,51.923,NA,5.892,NA,-163.301,-20.171
96,3,20,534.296,233.217,0,124.2,73.27,59.299,NA,7.86,NA,-158.962,4.338
97,3,21,530.346,230.959,0,115,77.82,63.368,NA,4.55,NA,-150.255,8.707
98,3,22,522.445,230.959,0,135.7,85.721,71.251,NA,7.901,NA,180,-29.745
99,3,23,516.237,230.959,0,55.8,91.929,77.447,NA,6.208,NA,180,0
100,3,24,509.465,230.959,0,79.8,98.701,84.209,NA,6.772,NA,180,0
101,3,25,504.386,232.652,0,52.3,104.055,89.212,NA,5.354,NA,161.565,-18.435
102,3,26,497.614,236.038,0,11.4,111.626,95.941,NA,7.572,NA,153.435,-8.13
103,3,27,491.97,238.296,0,15,117.705,101.622,NA,6.078,NA,158.199,4.764
104,3,28,485.762,241.118,0,69.6,124.524,107.938,NA,6.819,NA,155.556,-2.643
105,3,29,478.426,244.504,0,15.7,132.604,115.48,NA,8.08,NA,155.225,-0.331
106,3,30,474.475,245.068,0,70.6,136.594,119.463,NA,3.991,NA,171.87,16.645
107,3,31,467.703,246.197,0,43.4,143.46,126.306,NA,6.866,NA,170.538,-1.332
108,3,32,465.446,246.197,0,41.8,145.717,128.555,NA,2.257,NA,180,9.462
109,3,33,461.495,243.939,0,29.7,150.267,132.328,NA,4.55,NA,-150.255,29.745
110,3,34,459.802,242.246,0,26.4,152.662,133.922,NA,2.394,NA,-135,15.255
111,3,35,456.416,239.989,0,6.6,156.731,137.211,NA,4.07,NA,-146.31,-11.31
112,3,36,454.159,236.038,0,22.9,161.281,139.395,NA,4.55,NA,-119.745,26.565
113,3,37,454.159,232.652,0,22.9,164.667,139.422,NA,3.386,NA,-90,29.745
114,3,38,454.159,230.959,0,84.9,166.36,139.467,NA,1.693,NA,-90,0
