Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,531.782,270.679,0,160.6,0,0,NA,NA,NA,NA,NA
2,1,2,531.242,270.679,0,173.5,0.539,0.539,NA,0.539,NA,180,NA
3,1,3,529.624,270.139,0,183.7,2.245,2.224,NA,1.706,NA,-161.565,18.435
4,1,4,530.163,270.139,0,184.6,2.785,1.706,NA,0.539,NA,0,161.565
5,1,5,528.005,271.218,0,171.9,5.197,3.815,NA,2.413,NA,153.435,153.435
6,1,6,526.926,270.139,0,177.6,6.723,4.885,NA,1.526,NA,-135,71.565
7,1,7,524.229,269.06,0,171.2,9.628,7.724,NA,2.905,NA,-158.199,-23.199
8,1,8,519.913,269.6,0,134.9,13.978,11.917,NA,4.349,NA,172.875,-28.926
9,1,9,514.519,268.521,0,159.6,19.479,17.397,NA,5.502,NA,-168.69,18.435
10,1,10,513.709,265.014,0,157.3,23.078,18.939,NA,3.599,NA,-102.995,65.695
11,1,11,508.045,268.521,0,177.2,29.74,23.835,NA,6.662,NA,148.241,-108.765
12,1,12,507.505,269.33,0,152.6,30.713,24.314,NA,0.973,NA,123.69,-24.55
13,1,13,502.92,269.6,0,176.7,35.306,28.882,NA,4.593,NA,176.634,52.943
14,1,14,497.795,271.488,0,172,40.768,33.996,NA,5.462,NA,159.775,-16.858
15,1,15,490.512,272.297,0,197.9,48.095,41.301,NA,7.328,NA,173.66,13.885
16,1,16,486.736,269.6,0,165.2,52.736,45.059,NA,4.641,NA,-144.462,41.878
17,1,17,480.802,268.521,0,186.1,58.767,51.025,NA,6.031,NA,-169.695,-25.233
18,1,18,477.295,268.251,0,194.2,62.284,54.54,NA,3.517,NA,-175.601,-5.906
19,1,19,473.249,267.981,0,202.7,66.339,58.595,NA,4.055,NA,-176.186,-0.585
20,1,20,470.552,268.521,0,192.2,69.09,61.268,NA,2.751,NA,168.69,-15.124
21,1,21,465.966,269.33,0,176.7,73.746,65.829,NA,4.656,NA,169.992,1.302
22,1,22,458.953,268.79,0,177,80.78,72.853,NA,7.034,NA,-175.601,14.407
23,1,23,450.592,268.521,0,127.1,89.146,81.219,NA,8.366,NA,-178.152,-2.551
24,1,24,443.848,267.442,0,119,95.975,87.993,NA,6.829,NA,-170.91,7.243
25,1,25,437.914,266.093,0,98.9,102.061,93.98,NA,6.085,NA,-167.196,3.714
26,1,26,428.473,265.823,0,111.5,111.506,103.422,NA,9.445,NA,-178.363,-11.168
27,1,27,417.954,265.419,0,166.4,122.033,113.949,NA,10.527,NA,-177.797,0.566
28,1,28,411.48,266.228,0,197.5,128.557,120.384,NA,6.524,NA,172.875,-9.328
29,1,29,403.388,270.274,0,165.5,137.604,128.394,NA,9.047,NA,153.435,-19.44
30,1,30,394.487,269.869,0,187.2,146.515,137.297,NA,8.91,NA,-177.397,29.168
31,1,31,390.036,269.869,0,195.6,150.965,141.748,NA,4.451,NA,180,-2.603
32,1,32,382.753,270.274,0,213,158.259,149.029,NA,7.294,NA,176.82,-3.18
33,1,33,380.326,270.679,0,184.6,160.72,151.456,NA,2.461,NA,170.538,-6.282
34,1,34,377.898,269.869,0,184.1,163.279,153.886,NA,2.559,NA,-161.565,27.897
35,1,35,378.303,271.488,0,159.3,164.947,153.481,NA,1.668,NA,75.964,-122.471
36,1,36,376.684,269.465,0,178.3,167.538,155.102,NA,2.591,NA,-128.66,155.376
