Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,570.206,290.279,0,160.4,0,0,NA,NA,NA,NA,NA
2,1,2,570.206,290.279,0,165.3,0,0,NA,0,NA,0,NA
3,1,3,568.912,290.71,0,171.3,1.364,1.364,NA,1.364,NA,161.565,161.565
4,1,4,568.481,290.71,0,167.6,1.795,1.778,NA,0.431,NA,180,18.435
5,1,5,568.481,290.71,0,161.9,1.795,1.778,NA,0,NA,0,-180
6,1,6,566.324,290.71,0,160.6,3.952,3.906,NA,2.157,NA,180,180
7,1,7,565.677,289.848,0,160.6,5.03,4.549,NA,1.078,NA,-126.87,53.13
8,1,8,563.089,288.122,0,164.2,8.14,7.436,NA,3.11,NA,-146.31,-19.44
9,1,9,559.207,286.181,0,168.5,12.481,11.737,NA,4.34,NA,-153.435,-7.125
10,1,10,557.266,284.672,0,175.6,14.939,14.102,NA,2.459,NA,-142.125,11.31
11,1,11,555.11,282.946,0,162.8,17.701,16.783,NA,2.762,NA,-141.34,0.785
12,1,12,553.6,283.378,0,155.8,19.271,17.983,NA,1.57,NA,164.055,-54.605
13,1,13,551.875,283.809,0,160.5,21.05,19.439,NA,1.778,NA,165.964,1.909
14,1,14,548.424,285.75,0,161.8,25.009,22.248,NA,3.959,NA,150.642,-15.322
15,1,15,542.817,289.848,0,177.8,31.953,27.392,NA,6.945,NA,143.842,-6.8
16,1,16,538.288,294.376,0,154.9,38.358,32.18,NA,6.405,NA,135,-8.842
17,1,17,536.132,296.749,0,141.1,41.564,34.683,NA,3.206,NA,132.274,-2.726
18,1,18,534.191,296.102,0,164.8,43.61,36.483,NA,2.046,NA,-161.565,66.161
19,1,19,530.956,295.239,0,159.2,46.958,39.562,NA,3.348,NA,-165.069,-3.504
20,1,20,525.996,294.808,0,159.2,51.937,44.442,NA,4.979,NA,-175.03,-9.962
21,1,21,519.526,293.514,0,192.3,58.535,50.783,NA,6.598,NA,-168.69,6.34
22,1,22,516.507,293.514,0,188.4,61.554,53.797,NA,3.019,NA,180,-11.31
23,1,23,513.056,291.788,0,175.7,65.412,57.17,NA,3.858,NA,-153.435,26.565
24,1,24,510.684,290.279,0,153.7,68.224,59.522,NA,2.812,NA,-147.529,5.906
25,1,25,505.292,288.554,0,162.1,73.885,64.937,NA,5.661,NA,-162.255,-14.727
26,1,26,500.116,287.691,0,174.8,79.132,70.137,NA,5.247,NA,-170.538,-8.282
27,1,27,492.784,284.456,0,177.1,87.146,77.641,NA,8.014,NA,-156.194,14.344
28,1,28,485.883,281.005,0,170.7,94.862,84.832,NA,7.716,NA,-153.435,2.759
29,1,29,481.785,279.065,0,177.8,99.396,89.129,NA,4.534,NA,-154.654,-1.219
30,1,30,477.903,275.83,0,192,104.449,93.427,NA,5.053,NA,-140.194,14.459
31,1,31,473.159,280.143,0,180.6,110.861,97.575,NA,6.412,NA,137.726,-82.079
32,1,32,464.82,289.416,0,137.5,123.332,105.39,NA,12.471,NA,131.963,-5.764
33,1,33,461.657,289.416,0,175.8,126.495,108.552,NA,3.163,NA,180,48.037
34,1,34,459.932,289.416,0,162.9,128.221,110.278,NA,1.725,NA,180,0
35,1,35,457.631,288.841,0,184.2,130.592,112.584,NA,2.371,NA,-165.964,14.036
36,1,36,455.331,287.978,0,189.8,133.049,114.898,NA,2.457,NA,-159.444,6.52
37,1,37,453.606,287.978,0,185,134.774,116.623,NA,1.725,NA,180,-20.556
38,1,38,453.318,287.978,0,164.4,135.062,116.911,NA,0.288,NA,180,0
39,1,39,452.455,287.116,0,167.2,136.282,117.793,NA,1.22,NA,-135,45
40,1,40,451.305,286.541,0,175.8,137.567,118.96,NA,1.286,NA,-153.435,-18.435
41,1,41,450.443,286.541,0,168.5,138.43,119.822,NA,0.863,NA,180,-26.565
42,2,1,621.533,295.455,0,149.9,0,0,NA,NA,NA,NA,NA
43,2,2,621.533,295.455,0,149.9,0,0,NA,0,NA,0,NA
44,2,3,621.246,295.455,0,132.6,0.288,0.288,NA,0.288,NA,180,180
45,2,4,620.383,295.455,0,133.9,1.15,1.15,NA,0.863,NA,180,0
46,2,5,618.945,295.167,0,154.9,2.616,2.604,NA,1.466,NA,-168.69,11.31
47,2,6,617.22,294.88,0,149.1,4.365,4.351,NA,1.749,NA,-170.538,-1.848
48,2,7,615.207,294.017,0,136.4,6.555,6.487,NA,2.19,NA,-156.801,13.736
49,2,8,611.469,294.017,0,89.8,10.293,10.166,NA,3.738,NA,180,-23.199
50,2,9,609.169,292.292,0,109.6,13.169,12.763,NA,2.875,NA,-143.13,36.87
51,2,10,605.718,289.416,0,126.8,17.661,16.929,NA,4.492,NA,-140.194,2.936
52,2,11,604.568,288.554,0,125.9,19.098,18.315,NA,1.438,NA,-143.13,-2.936
53,2,12,603.418,288.554,0,152.5,20.249,19.385,NA,1.15,NA,180,-36.87
54,2,13,601.692,289.416,0,141.9,22.177,20.739,NA,1.929,NA,153.435,-26.565
55,2,14,599.967,290.279,0,162.8,24.106,22.178,NA,1.929,NA,153.435,0
56,2,15,597.954,292.004,0,168.6,26.757,23.83,NA,2.651,NA,139.399,-14.036
57,2,16,597.667,294.88,0,158.1,29.647,23.873,NA,2.89,NA,95.711,-43.688
58,2,17,597.667,296.317,0,176.7,31.085,23.882,NA,1.438,NA,90,-5.711
59,2,18,594.504,297.18,0,127.9,34.364,27.084,NA,3.279,NA,164.745,74.745
60,2,19,591.916,297.468,0,148.8,36.967,29.686,NA,2.604,NA,173.66,8.915
61,2,20,588.753,298.043,0,175.7,40.182,32.882,NA,3.215,NA,169.695,-3.965
