Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,608.107,301.539,0,192.9,0,0,NA,NA,NA,NA,NA
2,1,2,608.716,301.844,0,195.3,0.681,0.681,NA,0.681,NA,26.565,NA
3,1,3,606.583,302.149,0,190.3,2.836,1.641,NA,2.155,NA,171.87,145.305
4,1,4,606.583,302.149,0,187.2,2.836,1.641,NA,0,NA,0,-171.87
5,1,5,604.45,302.149,0,187.2,4.969,3.707,NA,2.133,NA,180,180
6,1,6,602.012,301.844,0,185.6,7.426,6.102,NA,2.457,NA,-172.875,7.125
7,1,7,600.793,301.235,0,187,8.789,7.32,NA,1.363,NA,-153.435,19.44
8,1,8,599.574,301.235,0,182.4,10.008,8.538,NA,1.219,NA,180,-26.565
9,1,9,595.612,299.406,0,183.5,14.371,12.675,NA,4.363,NA,-155.225,24.775
10,1,10,591.041,298.492,0,166.4,19.033,17.335,NA,4.662,NA,-168.69,-13.465
11,1,11,587.08,297.578,0,174.3,23.099,21.397,NA,4.066,NA,-167.005,1.685
12,1,12,580.985,296.968,0,156.8,29.224,27.504,NA,6.125,NA,-174.289,-7.284
13,1,13,577.633,296.663,0,160.5,32.59,30.862,NA,3.366,NA,-174.806,-0.516
14,1,14,574.585,297.273,0,166.3,35.698,33.792,NA,3.108,NA,168.69,-16.504
15,1,15,570.319,297.273,0,179.9,39.964,38.028,NA,4.266,NA,180,11.31
16,1,16,566.053,298.797,0,183.9,44.494,42.143,NA,4.53,NA,160.346,-19.654
17,1,17,559.653,300.32,0,177.9,51.073,48.469,NA,6.578,NA,166.608,6.261
18,1,18,553.254,300.625,0,208.4,57.479,54.861,NA,6.407,NA,177.274,10.666
19,1,19,544.112,303.977,0,216.7,67.217,64.042,NA,9.737,NA,159.864,-17.41
20,2,1,649.551,303.977,0,181.3,0,0,NA,NA,NA,NA,NA
21,2,2,648.942,303.977,0,178.9,0.609,0.609,NA,0.609,NA,180,NA
22,2,3,646.504,303.672,0,173.2,3.066,3.063,NA,2.457,NA,-172.875,7.125
23,2,4,647.418,304.891,0,166,4.59,2.321,NA,1.524,NA,53.13,-133.995
24,2,5,644.98,304.891,0,160.1,7.028,4.662,NA,2.438,NA,180,126.87
25,2,6,644.066,305.196,0,169.5,7.992,5.619,NA,0.964,NA,161.565,-18.435
26,2,7,641.019,304.587,0,167.2,11.099,8.554,NA,3.108,NA,-168.69,29.745
27,2,8,636.752,304.587,0,137.3,15.366,12.814,NA,4.266,NA,180,-11.31
28,2,9,634.01,303.977,0,130.3,18.175,15.542,NA,2.81,NA,-167.471,12.529
29,2,10,629.134,302.149,0,91.6,23.383,20.499,NA,5.207,NA,-159.444,8.027
30,2,11,625.782,299.711,0,151.3,27.528,24.149,NA,4.145,NA,-143.973,15.471
31,2,12,624.867,300.93,0,145.1,29.051,24.871,NA,1.524,NA,126.87,-89.157
32,2,13,622.43,301.235,0,117.6,31.508,27.26,NA,2.457,NA,172.875,46.005
33,2,14,619.382,302.454,0,175.8,34.79,30.208,NA,3.282,NA,158.199,-14.676
34,2,15,616.639,304.282,0,175.5,38.087,32.913,NA,3.296,NA,146.31,-11.889
35,2,16,613.897,304.891,0,152.5,40.896,35.666,NA,2.81,NA,167.471,21.161
36,2,17,612.678,305.806,0,149.1,42.42,36.919,NA,1.524,NA,143.13,-24.341
37,2,18,610.545,306.415,0,191.7,44.638,39.083,NA,2.219,NA,164.055,20.925
38,2,19,605.364,306.72,0,150,49.828,44.272,NA,5.19,NA,176.634,12.579
39,3,1,631.572,257.047,0,106.6,0,0,NA,NA,NA,NA,NA
40,3,2,631.267,257.047,0,83.2,0.305,0.305,NA,0.305,NA,180,NA
41,3,3,629.743,257.047,0,126.2,1.828,1.828,NA,1.524,NA,180,0
42,3,4,627.915,257.047,0,147.2,3.657,3.657,NA,1.828,NA,180,0
43,3,5,626.086,255.828,0,145.9,5.854,5.619,NA,2.198,NA,-146.31,33.69
44,3,6,623.648,255.219,0,190.2,8.367,8.131,NA,2.513,NA,-165.964,-19.654
45,3,7,621.515,253.391,0,149.7,11.177,10.701,NA,2.81,NA,-139.399,26.565
46,3,8,619.077,251.867,0,110.5,14.052,13.526,NA,2.875,NA,-147.995,-8.596
47,3,9,616.335,249.429,0,187.1,17.721,17.035,NA,3.67,NA,-138.366,9.628
48,3,10,614.202,248.819,0,178.7,19.94,19.22,NA,2.219,NA,-164.055,-25.688
49,3,11,611.459,248.21,0,168.3,22.749,21.969,NA,2.81,NA,-167.471,-3.417
50,3,12,610.545,248.819,0,129.8,23.848,22.579,NA,1.099,NA,146.31,-46.219
51,3,13,607.497,250.343,0,121.4,27.255,24.99,NA,3.407,NA,153.435,7.125
52,3,14,604.755,253.086,0,65.8,31.134,27.108,NA,3.879,NA,135,-18.435
53,3,15,602.012,255.219,0,93.8,34.609,29.616,NA,3.475,NA,142.125,7.125
54,3,16,597.441,257.962,0,78.8,39.939,34.143,NA,5.331,NA,149.036,6.911
55,3,17,593.784,258.266,0,85.8,43.609,37.807,NA,3.67,NA,175.236,26.2
56,3,18,587.994,258.571,0,152.3,49.407,43.604,NA,5.798,NA,176.987,1.751
57,3,19,581.29,256.743,0,122.8,56.356,50.283,NA,6.949,NA,-164.745,18.268
