Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,695.879,352.305,0,32.4,0,0,NA,NA,NA,NA,NA
2,1,2,697.295,353.249,0,22.8,1.702,1.702,NA,1.702,NA,33.69,NA
3,1,3,700.127,354.193,0,29.6,4.686,4.648,NA,2.985,NA,18.435,-15.255
4,1,4,701.071,354.665,0,25.6,5.742,5.703,NA,1.055,NA,26.565,8.13
5,1,5,701.071,354.665,0,25.2,5.742,5.703,NA,0,NA,0,-26.565
6,1,6,701.071,354.665,0,25.2,5.742,5.703,NA,0,NA,0,0
7,1,7,702.958,354.193,0,29.6,7.688,7.327,NA,1.946,NA,-14.036,-14.036
8,1,8,704.374,354.193,0,28.8,9.103,8.702,NA,1.416,NA,0,14.036
9,1,9,708.15,354.193,0,24.3,12.879,12.415,NA,3.776,NA,0,0
10,1,10,710.037,353.249,0,25.6,14.99,14.19,NA,2.111,NA,-26.565,-26.565
11,1,11,713.341,353.249,0,22.8,18.293,17.487,NA,3.304,NA,0,26.565
12,1,12,716.645,353.249,0,22.8,21.597,20.787,NA,3.304,NA,0,0
13,1,13,719.476,352.305,0,26.6,24.582,23.597,NA,2.985,NA,-18.435,-18.435
14,1,14,720.892,351.833,0,26.6,26.074,25.017,NA,1.492,NA,-18.435,0
15,1,15,725.14,355.609,0,27.8,31.757,29.446,NA,5.683,NA,41.634,60.068
16,1,16,726.555,359.384,0,25.4,35.789,31.482,NA,4.032,NA,69.444,27.81
17,1,17,727.971,364.104,0,16.1,40.716,34.192,NA,4.927,NA,73.301,3.857
18,1,18,731.747,366.935,0,17.1,45.436,38.737,NA,4.719,NA,36.87,-36.431
19,1,19,738.354,366.935,0,10.2,52.043,44.924,NA,6.607,NA,0,-36.87
20,1,20,742.13,364.104,0,18.4,56.762,47.732,NA,4.719,NA,-36.87,-36.87
21,1,21,747.793,364.104,0,20.5,62.426,53.238,NA,5.663,NA,0,36.87
22,1,22,751.568,359.384,0,16.1,68.47,56.137,NA,6.044,NA,-51.34,-51.34
23,1,23,755.816,356.553,0,23,73.574,60.087,NA,5.105,NA,-33.69,17.65
24,1,24,759.591,356.553,0,11.8,77.35,63.854,NA,3.776,NA,0,33.69
25,1,25,761.479,359.384,0,13,80.753,65.981,NA,3.403,NA,56.31,56.31
26,1,26,764.783,362.216,0,15.8,85.104,69.613,NA,4.351,NA,40.601,-15.709
27,1,27,775.637,363.16,0,11.4,96,80.494,NA,10.896,NA,4.97,-35.632
28,1,28,779.413,362.216,0,3.2,99.892,84.12,NA,3.892,NA,-14.036,-19.006
29,1,29,783.661,362.216,0,16.9,104.139,88.339,NA,4.247,NA,0,14.036
30,1,30,786.964,362.216,0,17,107.443,91.623,NA,3.304,NA,0,0
31,1,31,786.964,361.744,0,17,107.915,91.573,NA,0.472,NA,-90,-90
32,1,32,786.964,361.272,0,42.9,108.387,91.525,NA,0.472,NA,-90,0
33,1,33,786.964,361.272,0,35.6,108.387,91.525,NA,0,NA,0,90
34,1,34,790.268,361.272,0,13.5,111.69,94.813,NA,3.304,NA,0,0
35,1,35,794.515,361.272,0,63.5,115.938,99.043,NA,4.247,NA,0,0
36,1,36,794.987,361.272,0,13.7,116.41,99.513,NA,0.472,NA,0,0
37,2,1,748.265,355.137,0,21.5,0,0,NA,NA,NA,NA,NA
38,2,2,749.209,355.137,0,21.5,0.944,0.944,NA,0.944,NA,0,NA
39,2,3,749.209,355.137,0,21.5,0.944,0.944,NA,0,NA,0,0
40,2,4,749.681,355.137,0,20.9,1.416,1.416,NA,0.472,NA,0,0
41,2,5,749.681,355.137,0,20.5,1.416,1.416,NA,0,NA,0,0
42,2,6,749.681,355.137,0,21.7,1.416,1.416,NA,0,NA,0,0
43,2,7,750.625,355.137,0,20.5,2.36,2.36,NA,0.944,NA,0,0
44,2,8,753.928,355.609,0,21.5,5.697,5.683,NA,3.337,NA,8.13,8.13
45,2,9,757.704,355.609,0,18.4,9.472,9.451,NA,3.776,NA,0,-8.13
46,2,10,764.783,349.945,0,29,18.538,17.315,NA,9.066,NA,-38.66,-38.66
47,2,11,767.614,349.945,0,25.2,21.37,20.034,NA,2.832,NA,0,38.66
48,2,12,777.997,348.058,0,27.5,31.923,30.564,NA,10.553,NA,-10.305,-10.305
49,2,13,778.941,348.058,0,21.7,32.867,31.482,NA,0.944,NA,0,10.305
50,2,14,783.189,349.945,0,16.1,37.515,35.307,NA,4.648,NA,23.962,23.962
51,2,15,787.436,354.665,0,20.5,43.864,39.174,NA,6.349,NA,48.013,24.05
52,2,16,789.324,359.856,0,11.8,49.388,41.329,NA,5.524,NA,70.017,22.004
53,2,17,790.74,361.744,0,19.1,51.748,42.986,NA,2.36,NA,53.13,-16.887
54,2,18,794.987,362.216,0,20.4,56.021,47.256,NA,4.274,NA,6.34,-46.79
55,2,19,799.707,362.216,0,17.9,60.741,51.927,NA,4.719,NA,0,-6.34
56,2,20,807.258,359.384,0,18.3,68.805,59.146,NA,8.065,NA,-20.556,-20.556
57,2,21,810.561,359.384,0,31.1,72.109,62.441,NA,3.304,NA,0,20.556
58,2,22,811.977,357.968,0,16.2,74.111,63.775,NA,2.002,NA,-45,-45
59,2,23,812.449,359.384,0,14.9,75.604,64.325,NA,1.492,NA,71.565,116.565
60,2,24,813.865,359.384,0,11.8,77.019,65.737,NA,1.416,NA,0,-71.565
61,2,25,814.337,359.384,0,11.2,77.491,66.208,NA,0.472,NA,0,0
62,2,26,815.281,359.384,0,15.9,78.435,67.15,NA,0.944,NA,0,0
63,2,27,817.168,355.609,0,20.3,82.656,68.905,NA,4.221,NA,-63.435,-63.435
64,2,28,818.584,355.609,0,16.9,84.072,70.321,NA,1.416,NA,0,63.435
65,2,29,820,355.609,0,20.7,85.488,71.737,NA,1.416,NA,0,0
66,2,30,820.472,355.609,0,23.2,85.96,72.209,NA,0.472,NA,0,0
67,2,31,823.776,355.137,0,18.3,89.297,75.511,NA,3.337,NA,-8.13,-8.13
68,2,32,828.731,359.148,0,18.2,95.673,80.566,NA,6.376,NA,38.991,47.121
69,2,33,832.507,357.85,0,15.3,99.665,84.285,NA,3.992,NA,-18.97,-57.961
70,2,34,836.636,356.317,0,20.6,104.07,88.379,NA,4.405,NA,-20.376,-1.406
71,2,35,839.94,357.496,0,15,107.578,91.705,NA,3.508,NA,19.654,40.03
72,2,36,844.187,357.614,0,14.8,111.827,95.954,NA,4.249,NA,1.591,-18.063
73,3,1,724.55,284.935,0,167.9,0,0,NA,NA,NA,NA,NA
74,3,2,724.55,285.643,0,141.7,0.708,0.708,NA,0.708,NA,90,NA
75,3,3,725.612,285.997,0,158.1,1.827,1.502,NA,1.119,NA,18.435,-71.565
76,3,4,727.027,285.997,0,168.3,3.243,2.696,NA,1.416,NA,0,-18.435
77,3,5,729.151,286.351,0,183.6,5.396,4.814,NA,2.153,NA,9.462,9.462
78,3,6,730.921,287.059,0,133.2,7.302,6.716,NA,1.906,NA,21.801,12.339
79,3,7,733.045,286.705,0,59.3,9.455,8.677,NA,2.153,NA,-9.462,-31.264
80,3,8,735.876,284.935,0,168.5,12.794,11.327,NA,3.339,NA,-32.005,-22.543
81,3,9,738.708,283.873,0,113.4,15.819,14.198,NA,3.024,NA,-20.556,11.449
82,3,10,739.77,283.165,0,140.5,17.095,15.323,NA,1.276,NA,-33.69,-13.134
83,3,11,742.248,283.165,0,192.4,19.573,17.786,NA,2.478,NA,0,33.69
84,3,12,744.725,284.227,0,188,22.268,20.188,NA,2.696,NA,23.199,23.199
85,3,13,747.203,289.891,0,23.8,28.45,23.189,NA,6.182,NA,66.371,43.172
86,3,14,748.973,292.014,0,188.2,31.214,25.428,NA,2.764,NA,50.194,-16.176
87,3,15,751.45,294.492,0,193.2,34.718,28.548,NA,3.504,NA,45,-5.194
88,3,16,755.344,296.97,0,141.7,39.333,33.062,NA,4.615,NA,32.471,-12.529
89,3,17,759.945,299.801,0,126.6,44.736,38.391,NA,5.403,NA,31.608,-0.864
90,3,18,763.131,301.217,0,206.9,48.222,41.876,NA,3.486,NA,23.962,-7.645
91,3,19,769.856,302.633,0,177.6,55.095,48.64,NA,6.873,NA,11.889,-12.074
92,3,20,775.52,302.987,0,162.2,60.769,54.072,NA,5.674,NA,3.576,-8.312
93,3,21,781.537,304.049,0,153.4,66.88,60.107,NA,6.11,NA,10.008,6.432
94,3,22,784.368,304.403,0,128.8,69.733,62.907,NA,2.854,NA,7.125,-2.883
95,3,23,787.2,304.403,0,90.4,72.565,65.605,NA,2.832,NA,0,-7.125
96,3,24,789.678,304.403,0,55.6,75.043,67.975,NA,2.478,NA,0,0
97,3,25,792.863,302.279,0,133.6,78.871,70.481,NA,3.829,NA,-33.69,-33.69
98,3,26,793.925,302.633,0,168.4,79.991,71.597,NA,1.119,NA,18.435,52.125
99,3,27,793.925,305.465,0,11,82.822,72.349,NA,2.832,NA,90,71.565
100,3,28,794.279,305.465,0,20.3,83.176,72.689,NA,0.354,NA,0,-90
101,3,29,796.403,305.465,0,49.8,85.3,74.729,NA,2.124,NA,0,0
102,3,30,799.943,306.881,0,28.6,89.112,78.522,NA,3.812,NA,21.801,21.801
103,3,31,801.358,307.589,0,35.7,90.695,80.08,NA,1.583,NA,26.565,4.764
104,3,32,803.836,307.942,0,48.8,93.198,82.557,NA,2.503,NA,8.13,-18.435
105,3,33,805.606,308.296,0,49.6,95.003,84.355,NA,1.805,NA,11.31,3.18
106,3,34,808.437,308.296,0,48.6,97.834,87.08,NA,2.832,NA,0,-11.31
107,3,35,812.331,308.65,0,50.7,101.744,90.928,NA,3.91,NA,5.194,5.194
108,3,36,815.163,308.65,0,49.6,104.576,93.665,NA,2.832,NA,0,-5.194
