Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,678.492,344.097,0,28.7,0,0,NA,NA,NA,NA,NA
2,1,2,679.878,344.79,0,26.4,1.55,1.55,NA,1.55,NA,26.565,NA
3,1,3,680.224,345.483,0,27.4,2.325,2.219,NA,0.775,NA,63.435,36.87
4,1,4,681.264,345.83,0,24,3.42,3.269,NA,1.096,NA,18.435,-45
5,1,5,681.957,345.83,0,24,4.113,3.874,NA,0.693,NA,0,-18.435
6,1,6,681.957,345.83,0,24.4,4.113,3.874,NA,0,NA,0,0
7,1,7,683.689,345.83,0,24.4,5.846,5.479,NA,1.733,NA,0,0
8,1,8,684.382,346.176,0,25.4,6.621,6.247,NA,0.775,NA,26.565,26.565
9,1,9,686.462,346.176,0,24,8.7,8.237,NA,2.079,NA,0,-26.565
10,1,10,689.234,344.79,0,29.9,11.799,10.765,NA,3.099,NA,-26.565,-26.565
11,1,11,692.353,344.097,0,25.2,14.994,13.861,NA,3.195,NA,-12.529,14.036
12,1,12,693.392,342.018,0,25.2,17.319,15.045,NA,2.325,NA,-63.435,-50.906
13,1,13,694.778,342.018,0,32.2,18.705,16.419,NA,1.386,NA,0,63.435
14,1,14,697.897,344.097,0,31.2,22.453,19.405,NA,3.748,NA,33.69,33.69
15,1,15,699.629,347.562,0,33.7,26.327,21.42,NA,3.874,NA,63.435,29.745
16,1,16,699.976,352.414,0,33.7,31.191,23.038,NA,4.864,NA,85.914,22.479
17,1,17,702.748,353.8,0,31,34.29,26.125,NA,3.099,NA,26.565,-59.349
18,1,18,706.213,354.839,0,30.2,37.908,29.73,NA,3.618,NA,16.699,-9.866
19,1,19,712.104,354.839,0,31.2,43.799,35.288,NA,5.891,NA,0,-16.699
20,1,20,718.342,354.839,0,32.6,50.036,41.273,NA,6.237,NA,0,0
21,1,21,721.114,354.839,0,32.4,52.809,43.955,NA,2.772,NA,0,0
22,1,22,728.044,355.186,0,27.4,59.748,50.778,NA,6.939,NA,2.862,2.862
23,1,23,736.361,355.186,0,28.8,68.064,58.922,NA,8.317,NA,0,-2.862
24,1,24,747.45,351.721,0,30.2,79.682,69.378,NA,11.618,NA,-17.354,-17.354
25,1,25,761.657,347.909,0,23.1,94.392,83.253,NA,14.71,NA,-15.018,2.336
26,1,26,776.904,344.097,0,17.4,110.108,98.412,NA,15.716,NA,-14.036,0.982
27,1,27,791.458,343.404,0,21.7,124.678,112.969,NA,14.57,NA,-2.726,11.31
28,1,28,804.279,343.058,0,22.9,137.504,125.792,NA,12.826,NA,-1.548,1.178
29,1,29,816.754,347.216,0,35.9,150.654,138.298,NA,13.15,NA,18.435,19.983
30,1,30,831.424,353.684,0,32.8,166.686,153.232,NA,16.032,NA,23.795,5.36
31,1,31,841.588,353.684,0,21.1,176.851,163.378,NA,10.165,NA,0,-23.795
32,1,32,847.133,353.222,0,28.5,182.415,168.888,NA,5.564,NA,-4.764,-4.764
33,1,33,857.297,360.153,0,21,194.717,179.525,NA,12.303,NA,34.287,39.051
34,1,34,857.297,362.925,0,18.3,197.489,179.794,NA,2.772,NA,90,55.713
35,1,35,864.228,364.311,0,17.1,204.557,186.833,NA,7.068,NA,11.31,-78.69
36,1,36,873.93,364.773,0,17.1,214.271,196.529,NA,9.714,NA,2.726,-8.584
37,1,37,882.247,364.311,0,19.7,222.6,204.756,NA,8.329,NA,-3.18,-5.906
38,1,38,886.867,364.311,0,26.4,227.22,209.354,NA,4.62,NA,0,3.18
39,1,39,895.646,362.463,0,24.5,236.191,217.93,NA,8.971,NA,-11.889,-11.889
40,1,40,900.728,362.001,0,13.7,241.295,222.957,NA,5.103,NA,-5.194,6.694
41,1,41,911.355,355.07,0,12,253.982,233.122,NA,12.687,NA,-33.111,-27.917
