Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,565.113,279.842,0,171.3,0,0,NA,NA,NA,NA,NA
2,1,2,565.113,279.842,0,175.8,0,0,NA,0,NA,0,NA
3,1,3,565.948,279.842,0,177,0.835,0.835,NA,0.835,NA,0,0
4,1,4,566.784,281.095,0,165.1,2.341,2.088,NA,1.506,NA,56.31,56.31
5,1,5,567.619,281.93,0,182.5,3.523,3.262,NA,1.181,NA,45,-11.31
6,1,6,567.619,281.93,0,160.8,3.523,3.262,NA,0,NA,0,-45
7,1,7,568.037,281.512,0,156.8,4.113,3.367,NA,0.591,NA,-45,-45
8,1,8,568.872,280.259,0,144.5,5.619,3.782,NA,1.506,NA,-56.31,-11.31
9,1,9,570.543,279.006,0,153.6,7.708,5.494,NA,2.088,NA,-36.87,19.44
10,1,10,572.214,277.336,0,153.5,10.07,7.53,NA,2.363,NA,-45,-8.13
11,1,11,573.884,275.247,0,153.6,12.745,9.902,NA,2.674,NA,-51.34,-6.34
12,1,12,575.137,273.994,0,173.4,14.517,11.605,NA,1.772,NA,-45,6.34
13,1,13,577.643,273.994,0,163,17.023,13.827,NA,2.506,NA,0,45
14,1,14,578.896,274.83,0,187.2,18.529,14.666,NA,1.506,NA,33.69,33.69
15,1,15,579.314,277.753,0,189.9,21.482,14.354,NA,2.953,NA,81.87,48.18
16,1,16,580.567,281.095,0,185,25.051,15.505,NA,3.569,NA,69.444,-12.426
17,1,17,580.567,283.183,0,193.2,27.139,15.811,NA,2.088,NA,90,20.556
18,1,18,580.985,285.689,0,185.9,29.68,16.915,NA,2.541,NA,80.538,-9.462
19,1,19,582.655,286.942,0,187.6,31.768,18.925,NA,2.088,NA,36.87,-43.668
20,1,20,585.579,288.613,0,184.1,35.136,22.266,NA,3.367,NA,29.745,-7.125
21,1,21,591.844,288.613,0,188.1,41.401,28.133,NA,6.265,NA,0,-29.745
22,1,22,598.109,288.195,0,160.6,47.68,34.037,NA,6.279,NA,-3.814,-3.814
23,1,23,600.615,287.36,0,179.3,50.321,36.29,NA,2.642,NA,-18.435,-14.621
24,1,24,605.21,284.436,0,166.6,55.767,40.359,NA,5.446,NA,-32.471,-14.036
25,1,25,612.31,282.348,0,105.8,63.168,47.264,NA,7.401,NA,-16.39,16.082
26,1,26,618.993,280.259,0,118.6,70.17,53.882,NA,7.001,NA,-17.354,-0.964
27,1,27,629.017,274.83,0,156,81.57,64.1,NA,11.4,NA,-28.443,-11.089
28,1,28,634.447,271.906,0,170.1,87.737,69.787,NA,6.167,NA,-28.301,0.142
29,1,29,640.712,271.906,0,165.6,94.002,76.014,NA,6.265,NA,0,28.301
30,1,30,649.901,273.994,0,173.7,103.425,84.989,NA,9.423,NA,12.804,12.804
31,1,31,659.507,273.577,0,167.9,113.041,94.602,NA,9.616,NA,-2.49,-15.294
32,1,32,664.937,273.577,0,181.3,118.471,100.021,NA,5.43,NA,0,2.49
33,1,33,671.62,276.083,0,184.9,125.608,106.573,NA,7.137,NA,20.556,20.556
