Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,602.773,338.076,0,27.3,0,0,NA,NA,NA,NA,NA
2,1,2,602.441,338.076,0,27.3,0.331,0.331,NA,0.331,NA,180,NA
3,1,3,601.116,338.076,0,25.3,1.656,1.656,NA,1.325,NA,180,0
4,1,4,600.454,338.076,0,25.3,2.319,2.319,NA,0.663,NA,180,0
5,1,5,599.46,338.076,0,25.1,3.313,3.313,NA,0.994,NA,180,0
6,1,6,597.472,337.745,0,25.1,5.328,5.311,NA,2.015,NA,-170.538,9.462
7,1,7,593.497,337.082,0,29.9,9.358,9.329,NA,4.03,NA,-170.538,0
8,1,8,592.172,337.082,0,23.3,10.683,10.648,NA,1.325,NA,180,-9.462
9,1,9,587.865,335.095,0,18.4,15.427,15.203,NA,4.743,NA,-155.225,24.775
10,1,10,580.245,334.763,0,17,23.053,22.77,NA,7.627,NA,-177.51,-22.286
11,1,11,572.626,332.776,0,17,30.928,30.609,NA,7.875,NA,-165.379,12.131
12,1,12,567.988,331.45,0,24,35.752,35.41,NA,4.824,NA,-164.055,1.325
13,1,13,561.693,330.788,0,25.4,42.081,41.721,NA,6.329,NA,-173.991,-9.936
14,1,14,555.068,331.119,0,28.7,48.715,48.21,NA,6.634,NA,177.138,-8.871
15,1,15,550.43,332.113,0,28.7,53.458,52.682,NA,4.743,NA,167.905,-9.232
16,1,16,547.448,333.107,0,31,56.601,55.547,NA,3.143,NA,161.565,-6.34
17,1,17,542.81,333.107,0,29.9,61.239,60.168,NA,4.638,NA,180,18.435
18,2,1,652.797,337.082,0,25.1,0,0,NA,NA,NA,NA,NA
19,2,2,650.809,337.414,0,18,2.015,2.015,NA,2.015,NA,170.538,NA
20,2,3,650.478,337.414,0,18.5,2.346,2.343,NA,0.331,NA,180,9.462
21,2,4,648.49,337.082,0,28.9,4.362,4.307,NA,2.015,NA,-170.538,9.462
22,2,5,647.496,337.082,0,25.5,5.355,5.301,NA,0.994,NA,180,-9.462
23,2,6,645.508,337.082,0,28.5,7.343,7.288,NA,1.988,NA,180,0
24,2,7,639.877,335.426,0,29.9,13.213,13.026,NA,5.87,NA,-163.61,16.39
25,2,8,630.601,334.101,0,18,22.584,22.395,NA,9.37,NA,-171.87,-8.259
26,2,9,624.969,333.107,0,29.9,28.302,28.11,NA,5.719,NA,-169.992,1.878
27,2,10,620.993,332.444,0,31,32.333,32.14,NA,4.03,NA,-170.538,-0.546
28,2,11,618.343,331.782,0,26.7,35.065,34.859,NA,2.732,NA,-165.964,4.574
29,2,12,615.03,332.113,0,26.7,38.394,38.092,NA,3.329,NA,174.289,-19.747
30,2,13,613.042,332.113,0,35.7,40.382,40.064,NA,1.988,NA,180,5.711
31,2,14,608.073,333.438,0,20.8,45.525,44.872,NA,5.143,NA,165.069,-14.931
32,2,15,604.76,335.095,0,28.7,49.228,48.077,NA,3.704,NA,153.435,-11.634
33,2,16,601.116,336.42,0,18.4,53.106,51.685,NA,3.878,NA,160.017,6.582
34,2,17,599.129,336.42,0,30.8,55.094,53.672,NA,1.988,NA,180,19.983
35,3,1,624.969,268.506,0,142.8,0,0,NA,NA,NA,NA,NA
36,3,2,624.306,268.175,0,165.7,0.741,0.741,NA,0.741,NA,-153.435,NA
37,3,3,622.981,268.175,0,187.9,2.066,2.015,NA,1.325,NA,180,-26.565
38,3,4,621.656,268.175,0,185.3,3.391,3.329,NA,1.325,NA,180,0
39,3,5,619.006,267.844,0,204.2,6.062,6,NA,2.671,NA,-172.875,7.125
40,3,6,616.687,267.512,0,194.9,8.404,8.342,NA,2.343,NA,-171.87,1.005
41,3,7,614.699,266.85,0,176.5,10.5,10.403,NA,2.095,NA,-161.565,10.305
42,3,8,610.723,265.856,0,134.2,14.597,14.49,NA,4.098,NA,-165.964,-4.399
43,3,9,609.067,264.862,0,150.6,16.529,16.314,NA,1.932,NA,-149.036,16.928
44,3,10,606.748,264.862,0,162.5,18.848,18.582,NA,2.319,NA,180,-30.964
45,3,11,603.435,265.856,0,154,22.307,21.696,NA,3.459,NA,163.301,-16.699
46,3,12,599.791,268.175,0,134.4,26.626,25.18,NA,4.319,NA,147.529,-15.772
47,3,13,596.147,269.831,0,147.4,30.629,28.852,NA,4.003,NA,155.556,8.027
48,3,14,592.834,271.488,0,165.5,34.333,32.273,NA,3.704,NA,153.435,-2.121
49,3,15,589.19,273.476,0,198.2,38.484,36.122,NA,4.151,NA,151.39,-2.045
50,3,16,583.227,274.801,0,83.2,44.593,42.214,NA,6.109,NA,167.471,16.082
51,3,17,577.926,273.476,0,184.2,50.056,47.304,NA,5.464,NA,-165.964,26.565
