Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,640.086,353.58,0,32.5,0,0,NA,NA,NA,NA,NA
2,1,2,639.386,353.58,0,33.5,0.701,0.701,NA,0.701,NA,180,NA
3,1,3,638.335,353.58,0,35.5,1.751,1.751,NA,1.051,NA,180,0
4,1,4,637.284,353.58,0,36.5,2.802,2.802,NA,1.051,NA,180,0
5,1,5,635.883,353.93,0,29.6,4.246,4.218,NA,1.444,NA,165.964,-14.036
6,1,6,635.183,353.93,0,35.5,4.947,4.916,NA,0.701,NA,180,14.036
7,1,7,633.782,353.93,0,32.3,6.348,6.314,NA,1.401,NA,180,0
8,1,8,630.98,353.93,0,29.7,9.15,9.113,NA,2.802,NA,180,0
9,1,9,627.127,353.93,0,30.1,13.002,12.964,NA,3.853,NA,180,0
10,1,10,621.873,353.93,0,23.8,18.256,18.216,NA,5.254,NA,180,0
11,1,11,616.969,353.93,0,16.8,23.16,23.119,NA,4.904,NA,180,0
12,1,12,607.863,353.58,0,14.7,32.273,32.223,NA,9.113,NA,-177.797,2.203
13,1,13,601.558,352.529,0,21.7,38.665,38.542,NA,6.392,NA,-170.538,7.26
14,1,14,593.853,352.179,0,22.7,46.378,46.255,NA,7.714,NA,-177.397,-6.86
15,1,15,585.096,351.478,0,27.7,55.162,55.03,NA,8.784,NA,-175.426,1.971
16,1,16,580.543,351.128,0,28,59.729,59.593,NA,4.567,NA,-175.601,-0.175
17,1,17,572.137,351.478,0,32.6,68.142,67.981,NA,8.413,NA,177.614,-6.785
18,1,18,566.533,351.828,0,38.5,73.757,73.574,NA,5.615,NA,176.424,-1.19
19,1,19,560.579,352.879,0,30.8,79.804,79.51,NA,6.046,NA,169.992,-6.432
20,1,20,556.726,351.828,0,31.3,83.797,83.378,NA,3.993,NA,-164.745,25.263
21,1,21,551.822,351.478,0,31.3,88.713,88.289,NA,4.916,NA,-175.914,-11.17
22,2,1,688.771,355.681,0,25.4,0,0,NA,NA,NA,NA,NA
23,2,2,687.72,355.681,0,25.4,1.051,1.051,NA,1.051,NA,180,NA
24,2,3,685.619,355.681,0,24,3.152,3.152,NA,2.102,NA,180,0
25,2,4,684.918,355.681,0,24.3,3.853,3.853,NA,0.701,NA,180,0
26,2,5,684.218,355.681,0,24.3,4.553,4.553,NA,0.701,NA,180,0
27,2,6,683.517,355.681,0,27.3,5.254,5.254,NA,0.701,NA,180,0
28,2,7,678.264,354.981,0,19.7,10.554,10.531,NA,5.3,NA,-172.405,7.595
29,2,8,670.208,353.58,0,21.7,18.731,18.682,NA,8.177,NA,-170.134,2.271
30,2,9,664.253,353.58,0,17.1,24.685,24.608,NA,5.954,NA,180,-9.866
