Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,630.629,341.637,0,17.1,0,0,NA,NA,NA,NA,NA
2,1,2,631.077,341.637,0,17.3,0.448,0.448,NA,0.448,NA,0,NA
3,1,3,631.973,340.293,0,18.2,2.064,1.901,NA,1.615,NA,-56.31,-56.31
4,1,4,631.973,338.501,0,18.2,3.856,3.412,NA,1.792,NA,-90,-33.69
5,1,5,631.077,341.189,0,17.3,6.689,0.634,NA,2.834,NA,108.435,-161.565
6,1,6,633.317,340.293,0,19.4,9.102,3.006,NA,2.413,NA,-21.801,-130.236
7,1,7,632.869,338.949,0,20.4,10.519,3.499,NA,1.417,NA,-108.435,-86.634
8,1,8,632.421,338.949,0,21.4,10.967,3.231,NA,0.448,NA,180,-71.565
9,1,9,635.558,338.949,0,26.4,14.103,5.614,NA,3.136,NA,0,-180
10,1,10,635.109,339.397,0,20.8,14.737,5.009,NA,0.634,NA,135,135
11,1,11,634.213,338.949,0,22.8,15.739,4.48,NA,1.002,NA,-153.435,71.565
12,1,12,636.902,339.845,0,19.8,18.573,6.524,NA,2.834,NA,18.435,171.87
13,1,13,638.246,337.157,0,23.9,21.578,8.837,NA,3.006,NA,-63.435,-81.87
14,1,14,632.869,339.397,0,23.9,27.403,3.168,NA,5.825,NA,157.38,-139.185
15,1,15,638.246,338.949,0,25.2,32.798,8.077,NA,5.395,NA,-4.764,-162.144
16,1,16,636.006,341.189,0,17.3,35.966,5.395,NA,3.168,NA,135,139.764
17,1,17,636.006,341.189,0,18.8,35.966,5.395,NA,0,NA,0,-135
18,1,18,638.246,343.43,0,16,39.135,7.825,NA,3.168,NA,45,45
19,1,19,639.59,347.91,0,18.1,43.812,10.938,NA,4.678,NA,73.301,28.301
20,1,20,643.174,350.598,0,15.8,48.293,15.417,NA,4.48,NA,36.87,-36.431
21,1,21,647.207,351.046,0,22.7,52.35,19.062,NA,4.057,NA,6.34,-30.53
22,1,22,650.791,351.494,0,31.5,55.962,22.443,NA,3.612,NA,7.125,0.785
23,1,23,654.376,351.494,0,21.8,59.547,25.711,NA,3.584,NA,0,-7.125
24,1,24,657.96,351.046,0,22.7,63.159,28.905,NA,3.612,NA,-7.125,-7.125
25,1,25,664.233,348.358,0,21.8,69.983,34.269,NA,6.824,NA,-23.199,-16.074
26,1,26,673.194,347.014,0,11.6,79.045,42.903,NA,9.061,NA,-8.531,14.668
27,1,27,676.778,345.67,0,23.2,82.873,46.325,NA,3.828,NA,-20.556,-12.025
28,1,28,682.155,346.566,0,46.5,88.324,51.761,NA,5.451,NA,9.462,30.018
29,2,1,675.882,343.878,0,12.4,0,0,NA,NA,NA,NA,NA
30,2,2,676.778,342.533,0,18.2,1.615,1.615,NA,1.615,NA,-56.31,NA
31,2,3,678.57,342.533,0,18.2,3.408,3.006,NA,1.792,NA,0,56.31
32,2,4,677.674,343.878,0,15.8,5.023,1.792,NA,1.615,NA,123.69,123.69
33,2,5,677.674,342.533,0,14.8,6.367,2.24,NA,1.344,NA,-90,146.31
34,2,6,677.674,344.326,0,13.4,8.159,1.847,NA,1.792,NA,90,180
35,2,7,679.914,343.878,0,18.4,10.444,4.032,NA,2.285,NA,-11.31,-101.31
36,2,8,678.57,344.326,0,14.7,11.861,2.725,NA,1.417,NA,161.565,172.875
37,2,9,679.018,343.43,0,11.4,12.863,3.168,NA,1.002,NA,-63.435,135
38,2,10,681.259,342.982,0,15.6,15.147,5.451,NA,2.285,NA,-11.31,52.125
39,2,11,681.259,340.741,0,18.4,17.388,6.224,NA,2.24,NA,-90,-78.69
40,2,12,684.395,341.189,0,17.1,20.556,8.927,NA,3.168,NA,8.13,98.13
41,2,13,690.22,338.949,0,22.2,26.796,15.161,NA,6.241,NA,-21.038,-29.168
42,2,14,692.908,337.157,0,21.8,30.027,18.304,NA,3.231,NA,-33.69,-12.653
43,2,15,694.7,336.709,0,25.4,31.875,20.137,NA,1.847,NA,-14.036,19.654
44,2,16,695.148,337.157,0,21.4,32.508,20.405,NA,0.634,NA,45,59.036
45,2,17,696.044,342.085,0,21.4,37.518,20.242,NA,5.009,NA,79.695,34.695
46,2,18,700.973,346.566,0,28.9,44.178,25.234,NA,6.661,NA,42.274,-37.421
47,2,19,705.005,348.358,0,44.1,48.591,29.466,NA,4.413,NA,23.962,-18.311
48,2,20,706.797,346.118,0,27.4,51.46,30.996,NA,2.869,NA,-51.34,-75.303
49,2,21,709.486,344.326,0,15.1,54.691,33.607,NA,3.231,NA,-33.69,17.65
50,2,22,713.518,341.189,0,17.2,59.8,37.732,NA,5.109,NA,-37.875,-4.185
51,2,23,717.999,340.293,0,17,64.369,42.269,NA,4.569,NA,-11.31,26.565
52,2,24,722.927,338.949,0,29.8,69.477,47.303,NA,5.109,NA,-15.255,-3.945
53,2,25,730.096,338.949,0,26.6,76.646,54.437,NA,7.169,NA,0,15.255
54,2,26,738.161,340.293,0,18.2,84.822,62.382,NA,8.176,NA,9.462,9.462
55,2,27,743.985,340.741,0,44,90.664,68.176,NA,5.842,NA,4.399,-5.064
56,2,28,747.122,342.533,0,30,94.276,71.252,NA,3.612,NA,29.745,25.346
57,2,29,749.81,344.774,0,23,97.776,73.934,NA,3.499,NA,39.806,10.061
58,3,1,653.031,268.605,0,202.1,0,0,NA,NA,NA,NA,NA
59,3,2,653.031,269.053,0,178.7,0.448,0.448,NA,0.448,NA,90,NA
60,3,3,653.48,269.501,0,135.3,1.082,1.002,NA,0.634,NA,45,-45
61,3,4,653.928,270.398,0,196.2,2.084,2.004,NA,1.002,NA,63.435,18.435
62,3,5,653.928,271.294,0,181.2,2.98,2.834,NA,0.896,NA,90,26.565
63,3,6,653.031,270.398,0,7.6,4.247,1.792,NA,1.267,NA,-135,135
64,3,7,655.72,269.95,0,161.2,6.972,3.006,NA,2.725,NA,-9.462,125.538
65,3,8,654.376,271.294,0,10.3,8.873,3.006,NA,1.901,NA,135,144.462
66,3,9,656.616,269.95,0,106.4,11.486,3.828,NA,2.613,NA,-30.964,-165.964
67,3,10,657.96,268.157,0,138.2,13.726,4.949,NA,2.24,NA,-53.13,-22.166
68,3,11,658.408,269.95,0,7.7,15.573,5.542,NA,1.847,NA,75.964,129.094
69,3,12,661.096,269.501,0,169.6,18.299,8.115,NA,2.725,NA,-9.462,-85.426
70,3,13,661.992,267.709,0,165.6,20.302,9.006,NA,2.004,NA,-63.435,-53.973
71,3,14,663.337,269.053,0,168,22.203,10.315,NA,1.901,NA,45,108.435
72,3,15,665.577,269.95,0,162.2,24.616,12.617,NA,2.413,NA,21.801,-23.199
73,3,16,665.129,271.742,0,35.5,26.464,12.497,NA,1.847,NA,104.036,82.235
74,3,17,666.921,274.43,0,20.1,29.694,15.061,NA,3.231,NA,56.31,-47.726
75,3,18,669.609,276.67,0,160,33.194,18.435,NA,3.499,NA,39.806,-16.504
76,3,19,669.609,280.703,0,97.1,37.226,20.522,NA,4.032,NA,90,50.194
77,3,20,671.85,284.735,0,128.5,41.839,24.785,NA,4.613,NA,60.945,-29.055
78,3,21,675.882,286.975,0,136.7,46.452,29.319,NA,4.613,NA,29.055,-31.891
79,3,22,682.155,288.32,0,192.4,52.867,35.168,NA,6.415,NA,12.095,-16.96
80,3,23,690.668,288.768,0,179.9,61.392,42.697,NA,8.525,NA,3.013,-9.082
81,3,24,698.284,286.975,0,168.2,69.217,48.839,NA,7.825,NA,-13.241,-16.253
82,3,25,709.038,282.943,0,140.5,80.701,57.812,NA,11.484,NA,-20.556,-7.316
83,3,26,722.031,278.014,0,148.2,94.598,69.638,NA,13.897,NA,-20.772,-0.216
84,3,27,733.68,274.43,0,170.5,106.786,80.859,NA,12.188,NA,-17.103,3.67
85,3,28,739.057,269.95,0,157.6,113.785,86.036,NA,6.999,NA,-39.806,-22.703
86,3,29,747.57,265.469,0,158.1,123.405,94.59,NA,9.62,NA,-27.759,12.047
