Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,732.694,363.795,0,21.8,0,0,NA,NA,NA,NA,NA
2,1,2,731.721,364.767,0,25.2,1.375,1.375,NA,1.375,NA,135,NA
3,1,3,734.152,364.767,0,35.8,3.805,1.752,NA,2.43,NA,0,-135
4,1,4,732.207,364.767,0,25.2,5.749,1.087,NA,1.944,NA,180,180
5,1,5,732.694,363.795,0,21.8,6.836,0,NA,1.087,NA,-63.435,116.565
6,1,6,733.666,360.879,0,32.2,9.91,3.074,NA,3.074,NA,-71.565,-8.13
7,1,7,729.291,357.477,0,30.9,15.451,7.176,NA,5.542,NA,-142.125,-70.56
8,1,8,726.375,357.963,0,32.4,18.408,8.599,NA,2.956,NA,170.538,-47.337
9,1,9,722.487,357.477,0,31.3,22.326,12.004,NA,3.919,NA,-172.875,16.587
10,1,10,721.515,357.963,0,32.2,23.413,12.609,NA,1.087,NA,153.435,-33.69
11,1,11,718.599,358.449,0,33.4,26.37,15.075,NA,2.956,NA,170.538,17.103
12,1,12,716.654,360.879,0,32.2,29.482,16.302,NA,3.112,NA,128.66,-41.878
13,1,13,716.654,363.309,0,28.8,31.912,16.046,NA,2.43,NA,90,-38.66
14,1,14,714.71,367.683,0,23.9,36.699,18.399,NA,4.787,NA,113.962,23.962
15,1,15,710.336,371.086,0,27.6,42.24,23.516,NA,5.542,NA,142.125,28.163
16,1,16,705.962,370.114,0,31.1,46.721,27.468,NA,4.481,NA,-167.471,50.404
17,1,17,700.129,369.627,0,17.3,52.574,33.082,NA,5.853,NA,-175.236,-7.765
18,1,18,694.297,367.197,0,18.6,58.892,38.547,NA,6.318,NA,-157.38,17.856
19,1,19,685.548,362.823,0,27.6,68.673,47.155,NA,9.781,NA,-153.435,3.945
20,1,20,680.202,362.337,0,31.3,74.042,52.512,NA,5.368,NA,-174.806,-21.371
21,1,21,671.939,363.309,0,70.8,82.361,60.756,NA,8.32,NA,173.29,-11.904
22,1,22,668.051,363.309,0,29.8,86.25,64.644,NA,3.888,NA,180,6.71
23,1,23,664.163,367.197,0,16.2,91.749,68.615,NA,5.499,NA,135,-45
24,1,24,660.761,366.225,0,14.8,95.287,71.974,NA,3.538,NA,-164.055,60.945
25,1,25,652.498,365.739,0,13.4,103.564,80.219,NA,8.277,NA,-176.634,-12.579
26,1,26,644.722,363.309,0,23,111.711,87.973,NA,8.147,NA,-162.646,13.988
27,1,27,630.141,362.823,0,17.1,126.3,102.557,NA,14.589,NA,-178.091,-15.445
28,1,28,619.448,355.533,0,37,139.242,113.547,NA,12.942,NA,-145.713,32.378
29,2,1,780.811,369.141,0,18.4,0,0,NA,NA,NA,NA,NA
30,2,2,778.867,369.141,0,17.1,1.944,1.944,NA,1.944,NA,180,NA
31,2,3,780.811,369.141,0,18.4,3.888,0,NA,1.944,NA,0,-180
32,2,4,780.811,369.627,0,15.8,4.374,0.486,NA,0.486,NA,90,90
33,2,5,781.783,368.169,0,17,6.127,1.375,NA,1.752,NA,-56.31,-146.31
34,2,6,784.213,366.225,0,22.1,9.239,4.481,NA,3.112,NA,-38.66,17.65
35,2,7,782.755,366.225,0,25.2,10.697,3.505,NA,1.458,NA,180,-141.34
36,2,8,784.699,364.281,0,27.7,13.446,6.224,NA,2.749,NA,-45,135
37,2,9,784.213,362.337,0,30.1,15.45,7.608,NA,2.004,NA,-104.036,-59.036
38,2,10,784.213,362.823,0,27.5,15.936,7.176,NA,0.486,NA,90,-165.964
39,2,11,780.325,366.225,0,7.8,21.103,2.956,NA,5.167,NA,138.814,48.814
40,2,12,778.867,368.655,0,29.1,23.937,2.004,NA,2.834,NA,120.964,-17.85
41,2,13,782.269,372.544,0,30.1,29.104,3.702,NA,5.167,NA,48.814,-72.15
42,2,14,781.297,374.488,0,25.2,31.277,5.368,NA,2.174,NA,116.565,67.751
43,2,15,781.297,378.862,0,15.8,35.651,9.733,NA,4.374,NA,90,-26.565
44,2,16,777.894,379.834,0,9.1,39.19,11.083,NA,3.538,NA,164.055,74.055
45,2,17,774.978,380.32,0,17.1,42.146,12.609,NA,2.956,NA,170.538,6.483
46,2,18,770.604,379.834,0,24.5,46.547,14.782,NA,4.401,NA,-173.66,15.803
47,2,19,762.828,376.918,0,18.2,54.853,19.593,NA,8.305,NA,-159.444,14.216
48,2,20,755.051,377.89,0,22.8,62.69,27.205,NA,7.837,NA,172.875,-27.681
49,2,21,752.135,377.89,0,21.8,65.606,29.981,NA,2.916,NA,180,7.125
50,2,22,744.844,376.432,0,25.5,73.041,36.698,NA,7.435,NA,-168.69,11.31
51,2,23,735.61,374.002,0,24.1,82.59,45.462,NA,9.549,NA,-165.256,3.434
52,2,24,720.543,371.086,0,28,97.936,60.299,NA,15.347,NA,-169.046,-3.79
53,2,25,702.56,368.655,0,16.5,116.083,78.253,NA,18.147,NA,-172.304,-3.258
54,2,26,688.465,370.6,0,13.6,130.312,92.358,NA,14.228,NA,172.147,-15.549
55,2,27,674.856,367.683,0,17.3,144.229,105.965,NA,13.918,NA,-167.905,19.948
56,2,28,661.733,362.337,0,15.6,158.399,119.272,NA,14.17,NA,-157.834,10.072
57,3,1,759.425,288.46,0,172.8,0,0,NA,NA,NA,NA,NA
58,3,2,759.425,288.46,0,154.4,0,0,NA,0,NA,0,NA
59,3,3,760.397,289.432,0,190.4,1.375,1.375,NA,1.375,NA,45,45
60,3,4,759.911,288.946,0,73.8,2.062,0.687,NA,0.687,NA,-135,180
61,3,5,760.883,288.46,0,156.2,3.149,1.458,NA,1.087,NA,-26.565,108.435
62,3,6,761.369,287.488,0,141.3,4.236,2.174,NA,1.087,NA,-63.435,-36.87
63,3,7,760.397,286.03,0,147.3,5.988,2.617,NA,1.752,NA,-123.69,-60.255
64,3,8,761.369,287.002,0,127.3,7.363,2.43,NA,1.375,NA,45,168.69
65,3,9,760.397,287.974,0,136.9,8.737,1.087,NA,1.375,NA,135,90
66,3,10,760.883,289.918,0,128.4,10.741,2.062,NA,2.004,NA,75.964,-59.036
67,3,11,760.883,293.806,0,195.1,14.63,5.542,NA,3.888,NA,90,14.036
68,3,12,759.425,295.265,0,161.1,16.692,6.804,NA,2.062,NA,135,45
69,3,13,757.967,298.667,0,146.3,20.393,10.31,NA,3.702,NA,113.199,-21.801
70,3,14,754.565,302.555,0,155.4,25.56,14.909,NA,5.167,NA,131.186,17.987
71,3,15,750.677,303.527,0,104.3,29.568,17.423,NA,4.008,NA,165.964,34.778
72,3,16,745.33,306.443,0,45.3,35.658,22.849,NA,6.09,NA,151.39,-14.574
73,3,17,739.498,306.443,0,128.7,41.49,26.842,NA,5.832,NA,180,28.61
74,3,18,729.777,304.499,0,136.8,51.403,33.708,NA,9.913,NA,-168.69,11.31
75,3,19,721.029,304.013,0,134.4,60.165,41.427,NA,8.762,NA,-176.82,-8.13
76,3,20,708.878,300.125,0,91.4,72.923,51.876,NA,12.758,NA,-162.255,14.565
77,3,21,693.811,294.292,0,96.2,89.08,65.873,NA,16.156,NA,-158.839,3.417
78,3,22,683.118,288.946,0,110.2,101.034,76.309,NA,11.955,NA,-153.435,5.404
79,3,23,674.856,286.03,0,122.9,109.796,84.605,NA,8.762,NA,-160.56,-7.125
80,3,24,668.537,280.684,0,153.3,118.073,91.22,NA,8.277,NA,-139.764,20.796
81,3,25,659.789,279.225,0,146.2,126.943,100.064,NA,8.869,NA,-170.538,-30.774
82,3,26,652.984,276.309,0,161.4,134.346,107.132,NA,7.403,NA,-156.801,13.736
83,3,27,643.264,270.963,0,147.3,145.439,117.472,NA,11.094,NA,-151.189,5.612
84,3,28,633.543,268.047,0,152,155.588,127.527,NA,10.149,NA,-163.301,-12.112
