Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,574.666,287.549,0,163.8,0,0,NA,NA,NA,NA,NA
2,1,2,574.666,286.687,0,174.3,0.862,0.862,NA,0.862,NA,-90,NA
3,1,3,574.666,283.238,0,141.1,4.311,4.311,NA,3.449,NA,-90,0
4,1,4,575.098,281.513,0,160.8,6.089,6.051,NA,1.778,NA,-75.964,14.036
5,1,5,575.96,281.513,0,160.4,6.951,6.173,NA,0.862,NA,0,75.964
6,1,6,575.96,283.238,0,149.9,8.675,4.501,NA,1.724,NA,90,90
7,1,7,576.391,286.255,0,161.6,11.724,2.156,NA,3.048,NA,81.87,-8.13
8,1,8,576.391,287.549,0,139.4,13.017,1.724,NA,1.293,NA,90,8.13
9,1,9,576.391,288.411,0,152.4,13.879,1.928,NA,0.862,NA,90,0
10,1,10,576.391,289.704,0,123.3,15.172,2.76,NA,1.293,NA,90,0
11,1,11,576.391,289.704,0,117.4,15.172,2.76,NA,0,NA,0,-90
12,1,12,578.115,289.704,0,125.4,16.897,4.067,NA,1.724,NA,0,0
13,1,13,579.84,287.118,0,154.7,20.006,5.191,NA,3.109,NA,-56.31,-56.31
14,1,14,584.151,284.962,0,145.4,24.826,9.831,NA,4.82,NA,-26.565,29.745
15,1,15,585.444,283.669,0,183.5,26.655,11.455,NA,1.829,NA,-45,-18.435
16,1,16,586.738,283.669,0,177.8,27.948,12.679,NA,1.293,NA,0,45
17,1,17,587.169,286.687,0,151.2,30.996,12.532,NA,3.048,NA,81.87,81.87
18,1,18,588.462,289.704,0,168.9,34.28,13.963,NA,3.283,NA,66.801,-15.068
19,1,19,588.893,293.584,0,161.6,38.183,15.454,NA,3.904,NA,83.66,16.858
20,1,20,589.324,294.878,0,152.2,39.547,16.388,NA,1.363,NA,71.565,-12.095
21,1,21,590.617,295.309,0,166.4,40.91,17.738,NA,1.363,NA,18.435,-53.13
22,1,22,595.791,295.74,0,182.6,46.101,22.657,NA,5.191,NA,4.764,-13.671
23,1,23,599.24,295.74,0,189.5,49.55,25.902,NA,3.449,NA,0,-4.764
24,1,24,603.982,295.309,0,171.3,54.312,30.325,NA,4.762,NA,-5.194,-5.194
25,1,25,611.311,293.584,0,159.6,61.841,37.138,NA,7.529,NA,-13.241,-8.046
26,1,26,617.346,290.567,0,160.4,68.589,42.786,NA,6.748,NA,-26.565,-13.325
27,1,27,624.675,289.704,0,171,75.968,50.055,NA,7.379,NA,-6.71,19.855
28,1,28,633.297,288.411,0,133.6,84.687,58.637,NA,8.719,NA,-8.531,-1.821
29,1,29,644.937,286.687,0,153.8,96.454,70.276,NA,11.767,NA,-8.427,0.104
30,1,30,657.008,279.789,0,175.9,110.356,82.706,NA,13.903,NA,-29.745,-21.318
31,1,31,667.355,279.789,0,168.9,120.703,93.012,NA,10.347,NA,0,29.745
32,1,32,676.839,283.238,0,157,130.795,102.263,NA,10.092,NA,19.983,19.983
33,1,33,688.048,283.669,0,130.5,142.012,113.448,NA,11.217,NA,2.203,-17.781
34,1,34,695.377,283.669,0,138.3,149.341,120.772,NA,7.329,NA,0,-2.203
35,1,35,703.137,283.669,0,147.9,157.101,128.529,NA,7.76,NA,0,0
36,1,36,715.639,285.393,0,148,169.721,140.989,NA,12.62,NA,7.853,7.853
37,1,37,722.536,287.98,0,166.6,177.088,147.871,NA,7.367,NA,20.556,12.703
38,1,38,731.159,289.704,0,172.3,185.881,156.507,NA,8.793,NA,11.31,-9.246
39,1,39,738.919,289.704,0,172.1,193.641,164.266,NA,7.76,NA,0,-11.31
40,1,40,747.541,291.429,0,167.6,202.434,172.918,NA,8.793,NA,11.31,11.31
41,1,41,755.732,294.447,0,178.1,211.163,181.197,NA,8.729,NA,20.225,8.915
42,2,1,612.604,291.429,0,167.8,0,0,NA,NA,NA,NA,NA
43,2,2,612.604,290.135,0,148.1,1.293,1.293,NA,1.293,NA,-90,NA
44,2,3,613.466,287.118,0,172,4.432,4.396,NA,3.139,NA,-74.055,15.945
45,2,4,613.897,284.962,0,168.5,6.63,6.595,NA,2.198,NA,-78.69,-4.635
