Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,585.778,294.565,0,155.6,0,0,NA,NA,NA,NA,NA
2,1,2,585.778,296.897,0,134.9,2.332,2.332,NA,2.332,NA,90,NA
3,1,3,586.944,293.399,0,169.9,6.019,1.649,NA,3.687,NA,-71.565,-161.565
4,1,4,587.527,294.565,0,153.4,7.323,1.749,NA,1.304,NA,63.435,135
5,1,5,588.693,294.565,0,175.4,8.489,2.915,NA,1.166,NA,0,-63.435
6,1,6,591.608,294.565,0,138.6,11.404,5.83,NA,2.915,NA,0,0
7,1,7,593.357,294.565,0,132.6,13.153,7.579,NA,1.749,NA,0,0
8,1,8,595.689,292.816,0,143.9,16.068,10.064,NA,2.915,NA,-36.87,-36.87
9,1,9,597.439,292.233,0,161.9,17.912,11.891,NA,1.844,NA,-18.435,18.435
10,1,10,599.771,292.816,0,149.8,20.316,14.101,NA,2.404,NA,14.036,32.471
11,1,11,601.52,294.565,0,159.2,22.789,15.741,NA,2.473,NA,45,30.964
12,1,12,601.52,296.897,0,146.6,25.121,15.913,NA,2.332,NA,90,45
13,1,13,603.852,300.395,0,132.6,29.325,18.99,NA,4.204,NA,56.31,-33.69
14,1,14,606.767,300.978,0,148.1,32.298,21.946,NA,2.973,NA,11.31,-45
15,1,15,608.516,302.144,0,126,34.4,23.967,NA,2.102,NA,33.69,22.38
16,1,16,612.014,302.144,0,159.4,37.898,27.308,NA,3.498,NA,0,-33.69
17,1,17,618.427,301.561,0,181.5,44.338,33.39,NA,6.44,NA,-5.194,-5.194
18,1,18,623.674,299.812,0,130.4,49.869,38.257,NA,5.531,NA,-18.435,-13.241
19,1,19,627.755,295.731,0,145.2,55.64,41.993,NA,5.771,NA,-45,-26.565
20,2,1,635.917,297.48,0,153.9,0,0,NA,NA,NA,NA,NA
21,2,2,637.666,297.48,0,181.5,1.749,1.749,NA,1.749,NA,0,NA
22,2,3,637.666,299.229,0,153.6,3.498,2.473,NA,1.749,NA,90,90
23,2,4,638.249,299.229,0,155.5,4.081,2.915,NA,0.583,NA,0,-90
24,2,5,639.415,299.229,0,151.2,5.247,3.911,NA,1.166,NA,0,0
25,2,6,644.662,295.731,0,146.6,11.553,8.918,NA,6.306,NA,-33.69,-33.69
26,2,7,645.828,295.731,0,151.2,12.719,10.064,NA,1.166,NA,0,33.69
27,2,8,647.577,295.731,0,126.9,14.468,11.791,NA,1.749,NA,0,0
28,2,9,649.326,295.731,0,133,16.217,13.523,NA,1.749,NA,0,0
29,2,10,652.241,295.731,0,145.4,19.132,16.418,NA,2.915,NA,0,0
30,2,11,655.739,295.731,0,168.1,22.63,19.899,NA,3.498,NA,0,0
31,2,12,657.488,295.731,0,149,24.379,21.642,NA,1.749,NA,0,0
32,2,13,663.319,295.731,0,171,30.21,27.457,NA,5.83,NA,0,0
33,2,14,667.983,297.48,0,159.6,35.191,32.065,NA,4.981,NA,20.556,20.556
34,2,15,672.064,298.063,0,162,39.313,36.151,NA,4.122,NA,8.13,-12.426
35,2,16,674.979,298.063,0,152.6,42.228,39.066,NA,2.915,NA,0,-8.13
36,2,17,679.643,298.063,0,158.3,46.892,43.73,NA,4.664,NA,0,0
37,2,18,687.222,298.063,0,145.3,54.472,51.308,NA,7.579,NA,0,0
38,2,19,690.72,297.48,0,165.3,58.018,54.803,NA,3.546,NA,-9.462,-9.462
39,3,1,617.261,252.589,0,13.5,0,0,NA,NA,NA,NA,NA
40,3,2,617.844,251.423,0,49.6,1.304,1.304,NA,1.304,NA,-63.435,NA
41,3,3,619.01,250.84,0,62.7,2.607,2.473,NA,1.304,NA,-26.565,36.87
42,3,4,619.01,250.257,0,6.2,3.19,2.915,NA,0.583,NA,-90,-63.435
43,3,5,619.593,247.925,0,12.6,5.594,5.215,NA,2.404,NA,-75.964,14.036
44,3,6,621.342,246.176,0,14.6,8.068,7.602,NA,2.473,NA,-45,30.964
45,3,7,622.508,243.844,0,20.4,10.675,10.198,NA,2.607,NA,-63.435,-18.435
46,3,8,623.674,243.261,0,58.9,11.979,11.32,NA,1.304,NA,-26.565,36.87
47,3,9,625.423,244.427,0,22.9,14.081,11.543,NA,2.102,NA,33.69,60.255
48,3,10,626.006,246.759,0,18.2,16.484,10.51,NA,2.404,NA,75.964,42.274
49,3,11,627.172,247.925,0,148.4,18.133,10.954,NA,1.649,NA,45,-30.964
50,3,12,630.67,252.589,0,9.8,23.964,13.409,NA,5.83,NA,53.13,8.13
51,3,13,634.168,254.921,0,8.6,28.168,17.067,NA,4.204,NA,33.69,-19.44
52,3,14,637.666,255.504,0,133.5,31.714,20.612,NA,3.546,NA,9.462,-24.228
53,3,15,644.662,256.087,0,93.2,38.734,27.624,NA,7.02,NA,4.764,-4.699
54,3,16,652.241,253.172,0,129.8,46.855,34.985,NA,8.12,NA,-21.038,-25.801
55,3,17,660.986,250.84,0,50.7,55.905,43.761,NA,9.051,NA,-14.931,6.106
56,3,18,669.149,244.427,0,135.9,66.286,52.526,NA,10.38,NA,-38.157,-23.226
57,3,19,679.06,239.179,0,74.6,77.5,63.237,NA,11.214,NA,-27.897,10.26
