Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,613.701,308.189,0,32.2,0,0,NA,NA,NA,NA,NA
2,1,2,612.466,308.189,0,20.8,1.235,1.235,NA,1.235,NA,180,NA
3,1,3,608.76,308.189,0,18.2,4.941,4.941,NA,3.706,NA,180,0
4,1,4,605.878,306.542,0,17,8.26,7.995,NA,3.32,NA,-150.255,29.745
5,1,5,599.702,306.542,0,15.9,14.437,14.096,NA,6.176,NA,180,-29.745
6,1,6,595.996,306.542,0,18.2,18.142,17.781,NA,3.706,NA,180,0
7,1,7,591.878,308.189,0,19.6,22.577,21.822,NA,4.435,NA,158.199,-21.801
8,1,8,588.585,309.424,0,15.8,26.095,25.147,NA,3.518,NA,159.444,1.245
9,1,9,586.526,310.247,0,16,28.312,27.253,NA,2.217,NA,158.199,-1.245
10,1,10,581.173,313.129,0,14.9,34.391,32.901,NA,6.079,NA,151.699,-6.499
11,1,11,572.115,314.776,0,24.1,43.598,42.104,NA,9.207,NA,169.695,17.996
12,1,12,567.997,314.776,0,19.8,47.716,46.176,NA,4.117,NA,180,10.305
13,1,13,565.939,314.776,0,18.6,49.774,48.214,NA,2.059,NA,180,0
14,1,14,563.468,311.482,0,17.3,53.892,50.34,NA,4.117,NA,-126.87,53.13
15,1,15,558.527,308.6,0,8,59.612,55.175,NA,5.72,NA,-149.744,-22.874
16,1,16,552.763,305.718,0,9.4,66.057,60.988,NA,6.445,NA,-153.435,-3.691
17,1,17,547.822,300.777,0,22.6,73.044,66.294,NA,6.987,NA,-135,18.435
18,1,18,544.94,300.777,0,21.6,75.926,69.159,NA,2.882,NA,180,-45
19,1,19,541.234,302.424,0,23,79.981,72.695,NA,4.055,NA,156.038,-23.962
20,1,20,536.293,304.483,0,31.1,85.334,77.496,NA,5.353,NA,157.38,1.343
21,1,21,533.823,306.13,0,32.2,88.303,79.904,NA,2.969,NA,146.31,-11.07
22,1,22,530.117,309.424,0,29,93.261,83.593,NA,4.958,NA,138.366,-7.943
23,1,23,524.765,309.424,0,21.8,98.614,88.945,NA,5.353,NA,180,41.634
24,2,1,658.992,309.012,0,34.6,0,0,NA,NA,NA,NA,NA
25,2,2,656.522,309.012,0,31.4,2.47,2.47,NA,2.47,NA,180,NA
26,2,3,653.64,309.424,0,16.1,5.382,5.368,NA,2.911,NA,171.87,-8.13
27,2,4,651.993,309.424,0,7.7,7.029,7.012,NA,1.647,NA,180,8.13
28,2,5,651.581,309.012,0,26.5,7.611,7.411,NA,0.582,NA,-135,45
29,2,6,649.934,309.012,0,21.9,9.258,9.058,NA,1.647,NA,180,-45
30,2,7,648.287,309.424,0,23.1,10.956,10.713,NA,1.698,NA,165.964,-14.036
31,2,8,648.287,312.718,0,34.6,14.25,11.329,NA,3.294,NA,90,-75.964
32,2,9,647.052,313.129,0,32.4,15.552,12.63,NA,1.302,NA,161.565,71.565
33,2,10,646.228,313.953,0,36.1,16.716,13.687,NA,1.165,NA,135,-26.565
34,2,11,644.581,314.776,0,35.9,18.558,15.521,NA,1.841,NA,153.435,18.435
35,2,12,639.64,314.776,0,29.1,23.499,20.192,NA,4.941,NA,180,26.565
36,2,13,631.817,314.776,0,28.8,31.322,27.78,NA,7.823,NA,180,0
37,2,14,623.994,314.776,0,32.3,39.145,35.47,NA,7.823,NA,180,0
38,2,15,615.348,314.776,0,29,47.791,44.024,NA,8.647,NA,180,0
39,2,16,611.23,313.129,0,26.5,52.226,47.939,NA,4.435,NA,-158.199,21.801
40,2,17,602.584,313.129,0,22.8,60.873,56.559,NA,8.647,NA,180,-21.801
41,2,18,597.643,310.247,0,14.2,66.593,61.362,NA,5.72,NA,-149.744,30.256
42,2,19,589.82,310.247,0,31.4,74.416,69.184,NA,7.823,NA,180,-30.256
43,2,20,582.408,309.836,0,22.1,81.838,76.588,NA,7.423,NA,-176.82,3.18
44,2,21,576.644,309.836,0,22,87.603,82.352,NA,5.764,NA,180,-3.18
45,2,22,570.056,311.894,0,16.2,94.505,88.983,NA,6.902,NA,162.646,-17.354
46,3,1,637.582,249.721,0,67.5,0,0,NA,NA,NA,NA,NA
47,3,2,636.347,249.721,0,22.6,1.235,1.235,NA,1.235,NA,180,NA
48,3,3,635.111,248.486,0,67,2.982,2.762,NA,1.747,NA,-135,45
49,3,4,633.464,247.663,0,52,4.823,4.603,NA,1.841,NA,-153.435,-18.435
50,3,5,632.229,248.074,0,104.5,6.126,5.6,NA,1.302,NA,161.565,-45
51,3,6,631.406,248.898,0,127.4,7.29,6.231,NA,1.165,NA,135,-26.565
52,3,7,629.347,252.192,0,174.4,11.174,8.597,NA,3.884,NA,122.005,-12.995
53,3,8,628.523,253.839,0,206.7,13.016,9.95,NA,1.841,NA,116.565,-5.44
54,3,9,624.406,255.074,0,205.4,17.315,14.221,NA,4.299,NA,163.301,46.736
55,3,10,620.289,257.956,0,147.5,22.34,19.154,NA,5.026,NA,145.008,-18.293
56,3,11,614.936,258.78,0,130.2,27.756,24.39,NA,5.416,NA,171.254,26.246
57,3,12,609.172,258.78,0,20.6,33.52,29.819,NA,5.764,NA,180,8.746
58,3,13,601.76,254.662,0,176.4,41.999,36.161,NA,8.478,NA,-150.945,29.055
59,3,14,593.525,251.78,0,178.3,50.723,44.104,NA,8.725,NA,-160.71,-9.765
60,3,15,587.349,249.721,0,171.7,57.234,50.232,NA,6.51,NA,-161.565,-0.855
61,3,16,582.408,246.839,0,177.2,62.954,55.249,NA,5.72,NA,-149.744,11.821
62,3,17,577.056,245.604,0,144.1,68.447,60.666,NA,5.493,NA,-167.005,-17.262
63,3,18,571.703,242.722,0,185.6,74.526,66.249,NA,6.079,NA,-151.699,15.306
64,3,19,566.762,242.722,0,135.6,79.467,71.165,NA,4.941,NA,180,-28.301
65,3,20,563.057,241.898,0,59,83.263,74.935,NA,3.796,NA,-167.471,12.529
66,3,21,558.939,237.369,0,169.3,89.384,79.607,NA,6.121,NA,-132.274,35.198
67,3,22,554.41,235.722,0,173,94.204,84.342,NA,4.819,NA,-160.017,-27.743
