Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,616.708,300.963,0,193.9,0,0,NA,NA,NA,NA,NA
2,1,2,617.013,300.049,0,203.6,0.964,0.964,NA,0.964,NA,-71.565,NA
3,1,3,616.708,297.611,0,198.6,3.421,3.353,NA,2.457,NA,-97.125,-25.56
4,1,4,615.489,296.696,0,192.9,4.945,4.438,NA,1.524,NA,-143.13,-46.005
5,1,5,614.575,296.087,0,196.8,6.044,5.323,NA,1.099,NA,-146.31,-3.18
6,1,6,615.184,296.087,0,189.8,6.653,5.109,NA,0.61,NA,0,146.31
7,1,7,614.27,298.525,0,147.8,9.257,3.448,NA,2.604,NA,110.556,110.556
8,1,8,614.27,299.439,0,153.2,10.172,2.875,NA,0.914,NA,90,-20.556
9,1,9,614.575,300.658,0,163.4,11.428,2.155,NA,1.257,NA,75.964,-14.036
10,1,10,614.879,303.401,0,147.8,14.188,3.048,NA,2.76,NA,83.66,7.696
11,1,11,614.27,302.487,0,167.8,15.287,2.875,NA,1.099,NA,-123.69,152.65
12,1,12,613.051,302.487,0,166.5,16.506,3.962,NA,1.219,NA,180,-56.31
13,1,13,613.051,302.487,0,161.6,16.506,3.962,NA,0,NA,0,-180
14,1,14,609.698,302.792,0,183.6,19.872,7.244,NA,3.366,NA,174.806,174.806
15,1,15,608.174,302.182,0,160.6,21.514,8.62,NA,1.641,NA,-158.199,26.996
16,1,16,603.298,300.658,0,153.2,26.622,13.413,NA,5.109,NA,-162.646,-4.447
17,1,17,597.507,297.916,0,141.9,33.03,19.441,NA,6.407,NA,-154.654,7.992
18,1,18,592.021,296.696,0,155.6,38.65,25.053,NA,5.62,NA,-167.471,-12.817
19,1,19,588.059,297.306,0,203.4,42.658,28.881,NA,4.009,NA,171.254,-21.275
20,1,20,585.012,298.22,0,177.9,45.84,31.815,NA,3.182,NA,163.301,-7.953
21,1,21,583.183,300.049,0,182.6,48.426,33.537,NA,2.586,NA,135,-28.301
