0,sex,leg length in m,Mass in Kg, vmax in ms^-1?,recorded walking in ms^-1?,Froude number,normal mean maximum pelvic tilt angle,fast mean maximum pelvic tilt angle
99,Female,0.93,56.7,3.019,0.964,0.102,0.8562045,2.879488
100,Male,1.03,82.3,3.177,1.191,0.141,8.462,15.62
101,Female,0.889,54.43,2.9516,1.075,0.123,10.351,9.696
102,Male,1.12,90.72,3.309,1.362,0.169,10.576,8.956
103,Male,1.067,86.18,3.23,1.082,0.112,,
104,Male,1.194,97,3.422,1.645,0.231,3.997,6.602
105,Female,0.914,72.575,2.994,1.285,0.184,4.802,6.869
106,Female,0.991,74.84,3.118,1.106,0.126,3.204,4.086
107,Male,0.97,77.56,3.085,1.337,0.188,8.344,8.637
108,Male,1.08,89.5,3.255,1.33,0.167,8.265,14.569
109,Male,0.99,92.99,3.116,1.144,0.135,12.295,10.043
110,Male,1.14,78.47,3.34,1.32,0.156,,
111,Female,1.25,,3.5,1.057,0.091,12.097106,18.91368
112,Female,1.07,72.5748,3.24,1.19,0.135,8.921104,16.79235
113,Male ,1.04,106.5,3.192,1.149,0.129,5.534397,8.165336
114,Male ,1.04,74.83,3.192,1.234,0.149,6.580488,6.357216
115,Male ,1.01,95.2,3.146,1.205,0.147,6.275139,8.662093
116,Male,1.07,90.7,3.238209382,2.232142857,0.475,17.19854,17.86009
117,Female,0.92,61.2,3.004,1.109,0.136,7.253195,9.019101
118,Female,0.93,55.5,3.018940211,1.344,0.198,13.570724,17.020607
119,Male,1.01,113.4,3.146108708,1.7361111,0.3042038082,6.24,5.98
120,Male,1.15,83.9,3.357082066,0.89928,0.0716841305,3.59,4.43
121,Female,0.84,57.2,2.869146214,1.0288065,0.1284455626,1.6,2.11
122,Male,0.89,51,2.953303235,1.144164,0.1499400129,1.86,4.6
123,Male ,1.11,68,2.97133452,1.146788991,0.1208976825,10.191318,13.35843
124,Male,1.12,81,2.958039892,1.461988304,0.194734858,10.304846,17.447188
125,Female,1.05,74.84,3.055050463,0.8896797153,0.07692225421,,
126,Female,1.07,72.575,3.026363908,0.9541984733,0.08682955621,,
127,Male ,1.07,71.7,3.239861108,1.75428596,0.2931892147,,
128,Female,0.99,58.06,3.114803365,1.86567164,0.3583985284,,
129,Female,1.04,56.69,3.194119597,1.76056338,0.3038092424,,
130,Female,1,58.51,3.130495168,1.94552529,0.3858377833,,
131,Female,1.02,58.96,3.161645141,1.544928403,0.2385324868,5.375,8.265
132,Male,1.1,74.84,3.283,1.131221719,0.1185860975,5.58,8.51
133,Male,1.01,,3.146,1.70648464,0.2939100157,11.845,16.02
134,Male,1,78.97,,,,,
135,Female,0.97,54.43,,,,,
136,Male,1.06,74.84,,,,,
137,Male,1.1,81.65,,,,,
