Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
76	1	76	807	518	0	35.8	266.766	58.181	NA	3.162	NA	71.565	-108.435
77	1	77	807	522	0	27.6	270.766	56.365	NA	4	NA	90	18.435
78	1	78	803	526	0	32.8	276.422	51.078	NA	5.657	NA	135	45
79	1	79	798	530	0	72.5	282.826	44.944	NA	6.403	NA	141.34	6.34
80	1	80	793	530	0	30.5	287.826	40.311	NA	5	NA	180	38.66
81	1	81	792	531	0	30.5	289.24	39	NA	1.414	NA	135	-45
82	1	82	787	532	0	31.4	294.339	34.015	NA	5.099	NA	168.69	33.69
83	1	83	781	534	0	83.9	300.663	27.731	NA	6.325	NA	161.565	-7.125
84	1	84	784	535	0	34	303.826	30.083	NA	3.162	NA	18.435	-143.13
85	1	85	782.667	532.333	0	38.5	306.807	29.965	NA	2.981	NA	-116.565	-135
86	1	86	780	529.667	0	38.5	310.578	29.031	NA	3.771	NA	-135	-18.435
87	1	87	782.667	529.667	0	37.5	313.245	31.271	NA	2.667	NA	0	135
88	1	88	784	527	0	35.9	316.226	33.838	NA	2.981	NA	-63.435	-63.435
89	1	89	785.333	528.333	0	35.9	318.112	34.243	NA	1.886	NA	45	108.435
90	1	90	792	527	0	31.4	324.911	40.706	NA	6.799	NA	-11.31	-56.31
91	1	91	801.333	529.667	0	74.8	334.617	48.186	NA	9.707	NA	15.945	27.255
92	1	92	804	533.667	0	35.9	339.425	49.559	NA	4.807	NA	56.31	40.365
93	1	93	808	539	0	39.7	346.092	52.469	NA	6.667	NA	53.13	-3.18
94	1	94	820	543	0	141.1	358.741	64.07	NA	12.649	NA	18.435	-34.695
95	1	95	824	548.333	0	160.6	365.407	68.04	NA	6.667	NA	53.13	34.695
96	1	96	833.333	547	0	156.9	374.835	77.34	NA	9.428	NA	-8.13	-61.26
97	1	97	830.667	547	0	39.9	377.502	74.673	NA	2.667	NA	180	-171.87
98	1	98	834.667	541.667	0	33.7	384.169	78.786	NA	6.667	NA	-53.13	126.87
99	1	99	840	543	0	40.9	389.666	84.054	NA	5.497	NA	14.036	67.166
100	1	100	846.667	544.333	0	62.9	396.465	90.682	NA	6.799	NA	11.31	-2.726
101	1	101	846.667	540.333	0	38.4	400.465	90.844	NA	4	NA	-90	-101.31
102	1	102	842.667	540.333	0	35.2	404.465	86.852	NA	4	NA	180	-90
103	1	103	840	537.667	0	34.2	408.236	84.412	NA	3.771	NA	-135	45
104	1	104	830.667	535	0	27.9	417.943	75.473	NA	9.707	NA	-164.055	-29.055
105	1	105	826.667	532.333	0	32.6	422.75	71.976	NA	4.807	NA	-146.31	17.745
106	1	106	820	528.333	0	28.9	430.525	66.394	NA	7.775	NA	-149.036	-2.726
107	1	107	816	524.333	0	35.1	436.182	63.792	NA	5.657	NA	-135	14.036
108	1	108	814.667	519	0	38.4	441.679	64.582	NA	5.497	NA	-104.036	30.964
109	1	109	808	519	0	39.8	448.346	58.592	NA	6.667	NA	180	-75.964
110	1	110	808	517.667	0	42	449.679	59.218	NA	1.333	NA	-90	90
111	1	111	802.667	517.667	0	41.8	455.013	54.594	NA	5.333	NA	180	-90
112	1	112	802.667	513.667	0	42	459.013	56.773	NA	4	NA	-90	90
113	1	113	804	512.333	0	44.4	460.898	58.63	NA	1.886	NA	-45	45
114	1	114	814.667	511	0	57.2	471.648	68.314	NA	10.75	NA	-7.125	37.875
115	1	115	814.667	508.333	0	45.4	474.315	69.718	NA	2.667	NA	-90	-82.875
116	1	116	824	508.333	0	45.2	483.648	77.735	NA	9.333	NA	0	90
117	1	117	829.333	508.333	0	45.4	488.981	82.441	NA	5.333	NA	0	0
118	1	118	841.333	507	0	45.4	501.055	93.823	NA	12.074	NA	-6.34	-6.34
119	1	119	848	500.333	0	45.4	510.483	102.71	NA	9.428	NA	-45	-38.66
120	1	120	861.333	499	0	48.5	523.883	115.343	NA	13.4	NA	-5.711	39.289
121	1	121	874.667	491	0	51.2	539.432	130.793	NA	15.549	NA	-30.964	-25.253
122	1	122	884	489.667	0	50.4	548.86	139.848	NA	9.428	NA	-8.13	22.834
123	1	123	894.667	488.333	0	52.4	559.61	150.18	NA	10.75	NA	-7.125	1.005
124	1	124	896	482	0	51.3	566.082	153.935	NA	6.472	NA	-78.111	-70.986
125	1	125	908	478	0	53.5	578.731	166.517	NA	12.649	NA	-18.435	59.676
126	1	126	918	474	0	56.1	589.502	177.279	NA	10.77	NA	-21.801	-3.366
127	1	127	936	474	0	55.5	607.502	193.866	NA	18	NA	0	21.801
128	1	128	946	472	0	55.5	617.7	203.902	NA	10.198	NA	-11.31	-11.31
129	1	129	958	472	0	53.5	629.7	215.128	NA	12	NA	0	11.31
130	1	130	966	476	0	42.1	638.644	221.359	NA	8.944	NA	26.565	26.565
131	1	131	972	484	0	36.4	648.644	224.722	NA	10	NA	53.13	26.565
132	1	132	962	484	0	42.2	658.644	215.128	NA	10	NA	180	126.87
133	1	133	952	484	0	42.2	668.644	205.572	NA	10	NA	180	0
134	1	134	956	480	0	45.5	674.301	210.609	NA	5.657	NA	-45	135
135	1	135	946	482	0	46.5	684.499	200.489	NA	10.198	NA	168.69	-146.31
136	1	136	944	480	0	46.5	687.327	199.249	NA	2.828	NA	-135	56.31
137	1	137	950	474	0	47.6	695.813	206.93	NA	8.485	NA	-45	90
138	1	138	934	464	0	44.5	714.68	195.98	NA	18.868	NA	-147.995	-102.995
139	1	139	924	462	0	42.2	724.879	187.83	NA	10.198	NA	-168.69	-20.695
140	1	140	914	462	0	42.1	734.879	178.941	NA	10	NA	180	-11.31
141	1	141	900	464	0	45.5	749.021	165.711	NA	14.142	NA	171.87	-8.13
142	1	142	890	464	0	47.9	759.021	157.099	NA	10	NA	180	8.13
143	1	143	876	456	0	30.1	775.145	150	NA	16.125	NA	-150.255	29.745
144	1	144	880	460	0	50	780.802	150.904	NA	5.657	NA	45	-164.745
145	1	145	872	458	0	52.2	789.048	145.602	NA	8.246	NA	-165.964	149.036
146	1	146	862	456	0	51.4	799.246	139.054	NA	10.198	NA	-168.69	-2.726
147	1	147	854	448	0	39.5	810.56	138.593	NA	11.314	NA	-135	33.69
148	1	148	862	444	0	55.5	819.504	147.105	NA	8.944	NA	-26.565	108.435
149	1	149	862	436	0	55.5	827.504	152.761	NA	8	NA	-90	-63.435
150	1	150	872	430	0	56.1	839.166	164.049	NA	11.662	NA	-30.964	59.036
151	1	151	880	420	0	57.1	851.972	176.782	NA	12.806	NA	-51.34	-20.376
152	1	152	886	420	0	58	857.972	181.041	NA	6	NA	0	51.34
153	1	153	892	418	0	62	864.297	186.762	NA	6.325	NA	-18.435	-18.435
154	1	154	904	414	0	58.4	876.946	198.313	NA	12.649	NA	-18.435	0
155	1	155	914	402	0	57.4	892.567	213.776	NA	15.62	NA	-50.194	-31.759
156	1	156	926	398	0	61.5	905.216	225.397	NA	12.649	NA	-18.435	31.759
157	1	157	938	396	0	60.5	917.381	235.847	NA	12.166	NA	-9.462	8.973
158	1	158	934	382	0	59.2	931.941	242.033	NA	14.56	NA	-105.945	-96.483
159	1	159	938	372	0	58.6	942.712	251.794	NA	10.77	NA	-68.199	37.747
