MTrackJ,1.5.1,Data,,,,
Displaying,TRUE,TRUE,,,,
Point,21,797.8333333,419.5,1,31,1
Point,22,799.1666667,418.1666667,1,32,1
Point,23,801.8333333,418.8333333,1,33,1
Point,24,803.1666667,418.8333333,1,34,1
Point,25,801.8333333,420.1666667,1,35,1
Point,26,801.8333333,417.5,1,36,1
Point,27,798.5,415.5,1,37,1
Point,28,794.5,415.5,1,38,1
Point,29,792.5,414.1666667,1,39,1
Point,30,789.8333333,414.1666667,1,40,1
Point,31,786.5,414.8333333,1,41,1
Point,32,783.8333333,414.1666667,1,42,1
Point,33,784.5,412.1666667,1,43,1
Point,34,779.8333333,412.1666667,1,44,1
Point,35,778.5,412.8333333,1,45,1
Point,36,777.1666667,410.8333333,1,46,1
Point,37,773.8333333,410.8333333,1,47,1
Point,38,772.5,408.8333333,1,48,1
Point,39,772.5,408.1666667,1,49,1
Point,40,770.5,409.5,1,50,1
Point,41,771.1666667,406.1666667,1,51,1
Point,42,773.1666667,404.8333333,1,52,1
Point,43,773.1666667,403.5,1,53,1
Point,44,776.5,402.8333333,1,54,1
Point,45,779.1666667,402.8333333,1,55,1
Point,46,779.1666667,400.1666667,1,56,1
Point,47,779.8333333,400.8333333,1,57,1
Point,48,777.1666667,400.1666667,1,58,1
Point,49,775.8333333,398.8333333,1,59,1
Point,50,775.8333333,395.5,1,60,1
Point,51,772.5,393.5,1,61,1
Point,52,774.5,391.5,1,62,1
Point,53,774.5,387.5,1,63,1
Point,54,769.1666667,388.1666667,1,64,1
Point,55,761.8333333,388.1666667,1,65,1
Point,56,753.1666667,384.1666667,1,66,1
Point,57,751.1666667,380.1666667,1,67,1
Point,58,751.8333333,377.5,1,68,1
Point,59,753.1666667,376.1666667,1,69,1
Point,60,757.1666667,372.8333333,1,70,1
Point,61,756.5,370.1666667,1,71,1
Point,62,760.5,368.8333333,1,72,1
Point,63,761.8333333,367.5,1,73,1
Point,64,766.5,366.8333333,1,74,1
Point,65,770.5,363.5,1,75,1
Point,66,780.5,361.5,1,76,1
Point,67,787.8333333,359.5,1,77,1
